Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2017-18,Houston Rockets*,65,17,0.793,—,112.4,103.9,8.21
2017-18,Golden State Warriors*,58,24,0.707,7,113.5,107.5,5.79
2017-18,Portland Trail Blazers*,49,33,0.598,16,105.6,103,2.6
2017-18,Oklahoma City Thunder*,48,34,0.585,17,107.9,104.4,3.42
2017-18,Utah Jazz*,48,34,0.585,17,104.1,99.8,4.47
2017-18,New Orleans Pelicans*,48,34,0.585,17,111.7,110.4,1.48
2017-18,San Antonio Spurs*,47,35,0.573,18,102.7,99.8,2.89
2017-18,Minnesota Timberwolves*,47,35,0.573,18,109.5,107.3,2.35
2017-18,Denver Nuggets,46,36,0.561,19,110,108.5,1.57
2017-18,Los Angeles Clippers,42,40,0.512,23,109,109,0.15
2017-18,Los Angeles Lakers,35,47,0.427,30,108.1,109.6,-1.44
2017-18,Sacramento Kings,27,55,0.329,38,98.8,105.8,-6.6
2017-18,Dallas Mavericks,24,58,0.293,41,102.3,105.4,-2.7
2017-18,Memphis Grizzlies,22,60,0.268,43,99.3,105.5,-5.81
2017-18,Phoenix Suns,21,61,0.256,44,103.9,113.3,-8.8
