Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2018-19,Milwaukee Bucks*,60,22,0.732,—,118.1,109.3,8.04
2018-19,Toronto Raptors*,58,24,0.707,2,114.4,108.4,5.49
2018-19,Philadelphia 76ers*,51,31,0.622,9,115.2,112.5,2.25
2018-19,Boston Celtics*,49,33,0.598,11,112.4,108,3.9
2018-19,Indiana Pacers*,48,34,0.585,12,108,104.7,2.76
2018-19,Brooklyn Nets*,42,40,0.512,18,112.2,112.3,-0.4
2018-19,Orlando Magic*,42,40,0.512,18,107.3,106.6,0.28
2018-19,Detroit Pistons*,41,41,0.5,19,107,107.3,-0.56
2018-19,Charlotte Hornets,39,43,0.476,21,110.7,111.8,-1.32
2018-19,Miami Heat,39,43,0.476,21,105.7,105.9,-0.45
2018-19,Washington Wizards,32,50,0.39,28,114,116.9,-3.3
2018-19,Atlanta Hawks,29,53,0.354,31,113.3,119.4,-6.06
2018-19,Chicago Bulls,22,60,0.268,38,104.9,113.4,-8.32
2018-19,Cleveland Cavaliers,19,63,0.232,41,104.5,114.1,-9.39
2018-19,New York Knicks,17,65,0.207,43,104.6,113.8,-8.93
