Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2017-18,Toronto Raptors*,59,23,0.72,—,111.7,103.9,7.29
2017-18,Boston Celtics*,55,27,0.671,4,104,100.4,3.23
2017-18,Philadelphia 76ers*,52,30,0.634,7,109.8,105.3,4.3
2017-18,Cleveland Cavaliers*,50,32,0.61,9,110.9,109.9,0.59
2017-18,Indiana Pacers*,48,34,0.585,11,105.6,104.2,1.18
2017-18,Miami Heat*,44,38,0.537,15,103.4,102.9,0.15
2017-18,Milwaukee Bucks*,44,38,0.537,15,106.5,106.8,-0.45
2017-18,Washington Wizards*,43,39,0.524,16,106.6,106,0.53
2017-18,Detroit Pistons,39,43,0.476,20,103.8,103.9,-0.26
2017-18,Charlotte Hornets,36,46,0.439,23,108.2,108,0.07
2017-18,New York Knicks,29,53,0.354,30,104.5,108,-3.53
2017-18,Brooklyn Nets,28,54,0.341,31,106.6,110.3,-3.67
2017-18,Chicago Bulls,27,55,0.329,32,102.9,110,-6.84
2017-18,Orlando Magic,25,57,0.305,34,103.4,108.2,-4.92
2017-18,Atlanta Hawks,24,58,0.293,35,103.4,108.8,-5.3
