Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2018-19,Golden State Warriors*,57,25,0.695,—,117.7,111.2,6.42
2018-19,Denver Nuggets*,54,28,0.659,3,110.7,106.7,4.19
2018-19,Portland Trail Blazers*,53,29,0.646,4,114.7,110.5,4.43
2018-19,Houston Rockets*,53,29,0.646,4,113.9,109.1,4.96
2018-19,Utah Jazz*,50,32,0.61,7,111.7,106.5,5.28
2018-19,Oklahoma City Thunder*,49,33,0.598,8,114.5,111.1,3.56
2018-19,San Antonio Spurs*,48,34,0.585,9,111.7,110,1.8
2018-19,Los Angeles Clippers*,48,34,0.585,9,115.1,114.3,1.09
2018-19,Sacramento Kings,39,43,0.476,18,114.2,115.3,-0.81
2018-19,Los Angeles Lakers,37,45,0.451,20,111.8,113.5,-1.33
2018-19,Minnesota Timberwolves,36,46,0.439,21,112.5,114,-1.02
2018-19,Memphis Grizzlies,33,49,0.402,24,103.5,106.1,-2.08
2018-19,New Orleans Pelicans,33,49,0.402,24,115.4,116.8,-1.1
2018-19,Dallas Mavericks,33,49,0.402,24,108.9,110.1,-0.87
2018-19,Phoenix Suns,19,63,0.232,38,107.5,116.8,-8.61
