Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2020-21,Utah Jazz*,52,20,0.722,—,116.4,107.2,8.97
2020-21,Phoenix Suns*,51,21,0.708,1,115.3,109.5,5.67
2020-21,Denver Nuggets*,47,25,0.653,5,115.1,110.1,4.82
2020-21,Los Angeles Clippers*,47,25,0.653,5,114,107.8,6.02
2020-21,Dallas Mavericks*,42,30,0.583,10,112.4,110.2,2.26
2020-21,Portland Trail Blazers*,42,30,0.583,10,116.1,114.3,1.81
2020-21,Los Angeles Lakers*,42,30,0.583,10,109.5,106.8,2.77
2020-21,Golden State Warriors,39,33,0.542,13,113.7,112.7,1.1
2020-21,Memphis Grizzlies*,38,34,0.528,14,113.3,112.3,1.07
2020-21,San Antonio Spurs,33,39,0.458,19,111.1,112.8,-1.58
2020-21,New Orleans Pelicans,31,41,0.431,21,114.6,114.9,-0.2
2020-21,Sacramento Kings,31,41,0.431,21,113.7,117.4,-3.45
2020-21,Minnesota Timberwolves,23,49,0.319,29,112.1,117.7,-5.25
2020-21,Oklahoma City Thunder,22,50,0.306,30,105,115.6,-10.13
2020-21,Houston Rockets,17,55,0.236,35,108.8,116.7,-7.5
