Rk,Player,Pos,Age,Tm,G?,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
129,Dewayne Dedmon,C,32,MIA,67,1065,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,,1.5,2,3.5,0.158,,-2.1,1.1,-1,0.3
130,Darius Garland,PG,22,CLE,67,2407,19,0.575,0.385,0.207,1.8,8.2,5.1,39.9,1.8,0.3,16.3,28,,3.7,2.5,6.2,0.123,,3.4,-0.9,2.5,2.8
131,Isaiah Hartenstein,C,23,LAC,67,1191,21.8,0.663,0.078,0.359,10.4,18.3,14.5,20.3,2,5.4,16.8,18.4,,3.1,2.1,5.2,0.209,,1.2,3.1,4.3,1.9
132,Zach LaVine,SF,26,CHI,67,2328,20,0.605,0.401,0.316,1.1,13.7,7.4,20.9,0.9,0.9,11.2,28.8,,4.5,1.3,5.8,0.12,,3.9,-1.5,2.4,2.6
133,Donovan Mitchell,SG,25,UTA,67,2266,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.6,2.2,0.5,11.7,33,,4.7,2.4,7.1,0.151,,4.6,-0.3,4.3,3.6
134,Dejounte Murray,PG,25,SAS,67,2334,22.4,0.533,0.235,0.197,3.6,21.8,12.6,40.8,2.8,0.8,11.8,27.3,,3.9,3.4,7.3,0.151,,3.7,1.8,5.5,4.4
135,Jakob Poeltl,C,26,SAS,67,1941,20.9,0.614,0.002,0.291,13.8,19.9,16.8,14.2,1.1,5.1,12.8,18.3,,4.3,2.5,6.9,0.17,,0.9,0.7,1.7,1.8
136,Gabe Vincent,PG,25,MIA,67,1576,10.5,0.549,0.629,0.106,1.6,7.2,4.5,19.3,2,0.8,15.5,17.8,,0.6,1.9,2.5,0.076,,-1.9,0.5,-1.4,0.2
137,Grayson Allen,SG,26,MIL,66,1805,12.8,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1,6.7,15.2,,2.8,1.4,4.2,0.112,,0.6,-0.2,0.5,1.1
138,Oshae Brissett,SF,23,IND,66,1528,12.6,0.526,0.467,0.329,7.6,18.1,12.8,6.2,1.4,1.7,8.8,17.1,,1.2,0.9,2.1,0.065,,-0.7,-1.6,-2.3,-0.1
139,Spencer Dinwiddie,PG,28,TOT,66,1962,15.1,0.543,0.448,0.346,2.6,12.9,7.8,25.6,1.1,0.6,10.9,21.5,,2.7,1.3,4,0.098,,0.7,-0.5,0.3,1.1
140,Jalen Green,SG,19,HOU,66,2098,12.2,0.543,0.482,0.242,1.7,10.1,5.9,13.1,1,0.8,11.6,23.5,,0.2,0.2,0.5,0.011,,-0.7,-2.4,-3,-0.6
141,JaMychal Green,PF,31,DEN,66,1063,13.8,0.585,0.384,0.284,8.6,19.6,14.3,7.4,1.8,2.1,13.5,17.2,,1.2,1.4,2.6,0.115,,-2.1,0.1,-2,0
142,Josh Green,SG,21,DAL,66,1022,12,0.576,0.299,0.179,5.5,11.6,8.6,10.9,2.2,1.2,13.4,13.8,,1,1.4,2.4,0.112,,-2.4,1.4,-0.9,0.3
143,Tyler Herro,SG,22,MIA,66,2151,16.2,0.561,0.391,0.195,1.7,15.4,8.7,20.9,1,0.4,12.5,28.8,,1.4,2.5,3.8,0.086,,1.6,-0.9,0.7,1.5
144,Jrue Holiday,PG,31,MIL,66,2207,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15,23.5,,4.5,2.4,7,0.152,,2.9,0.3,3.2,2.9
145,Furkan Korkmaz,SG,24,PHI,66,1381,10.3,0.505,0.563,0.174,1.7,12,7,13,1.2,0.5,8.7,17.6,,0.1,1.1,1.2,0.042,,-2,-1,-3,-0.3
146,Kyle Kuzma,PF,26,WAS,66,2204,15.2,0.547,0.401,0.234,3.6,24.2,14.1,16.4,0.9,2.2,14.1,24.3,,0,2.1,2,0.044,,0.2,-0.4,-0.2,1
147,Khris Middleton,SF,30,MIL,66,2141,18.2,0.577,0.425,0.285,2.1,15.3,8.8,25.4,1.7,0.8,14.2,26.7,,3.2,2.2,5.4,0.121,,1.9,-0.3,1.6,1.9
148,Isaac Okoro,SF,21,CLE,66,1963,10.4,0.59,0.368,0.363,4.1,7.1,5.6,8.4,1.4,1,10.5,12.5,,2.3,1.9,4.2,0.103,,-2.4,0.7,-1.7,0.1
149,Austin Rivers,SG,29,DEN,66,1457,7.2,0.546,0.662,0.128,1.5,6.8,4.2,8,1.7,0.4,13,12.6,,0.1,1.1,1.2,0.038,,-3.5,-0.3,-3.8,-0.7
150,Cam Thomas,SG,20,BRK,66,1167,11.7,0.517,0.344,0.206,1.5,13.2,7.5,9.8,1.4,0.6,9,22.1,,0,0.8,0.8,0.033,,-2,-1.4,-3.3,-0.4
151,Cole Anthony,PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.3,8.9,29,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.3,0.4
152,Jaylen Brown,SF,25,BOS,65,2197,19,0.575,0.381,0.265,2.7,16.8,9.9,17.9,1.6,0.7,11.5,30.4,,2.3,3.4,5.7,0.125,,2,0.1,2.1,2.2
153,Troy Brown Jr.,SF,22,CHI,65,1015,9.8,0.52,0.518,0.102,4.1,17.1,10.6,8,1.6,0.4,8.6,12.2,,0.5,0.8,1.3,0.061,,-1.8,-0.2,-2,0
154,Jevon Carter,PG,26,TOT,65,872,9.8,0.548,0.682,0.074,1.6,11,6.4,13.8,1.2,1.5,12,14,,0.6,0.6,1.2,0.066,,-1.6,-0.5,-2,0
155,Pat Connaughton,SG,29,MIL,65,1691,13.5,0.62,0.746,0.109,2.9,14,8.6,6.6,1.7,0.9,6.3,14,,2.8,1.7,4.4,0.126,,0.8,0.4,1.2,1.4
156,Danilo Gallinari,PF,33,ATL,65,1641,14,0.572,0.491,0.264,2.3,17.9,10.1,8.5,0.8,0.6,5.2,18.3,,2.6,0.8,3.4,0.101,,0.8,-1.2,-0.4,0.7
157,Rudy Gobert,C,29,UTA,65,2091,24.7,0.732,0.008,0.847,12.9,36.4,25,5,1.1,5.7,14.5,16.8,,7.2,4.2,11.4,0.262,,2.9,1.7,4.6,3.5
158,James Harden,PG-SG,32,TOT,65,2419,20.9,0.583,0.452,0.54,2.5,19.8,11.3,40.4,1.7,1.3,18.8,27.2,,4.9,2.7,7.7,0.152,,3.7,0.3,4.1,3.7
159,Killian Hayes,PG,20,DET,65,1637,9.3,0.46,0.363,0.159,2.3,12,6.9,24.6,2.3,1.9,18.7,15.6,,-1,1.5,0.5,0.013,,-4.3,0.8,-3.5,-0.6
160,Cameron Johnson,PF,25,PHO,65,1707,15.2,0.626,0.645,0.186,2.7,13.7,8.4,7.6,1.6,0.8,6.5,17.5,,3.2,2.4,5.6,0.157,,2.1,0.7,2.8,2.1
161,Cory Joseph,PG,30,DET,65,1600,11.4,0.579,0.393,0.283,1.9,10.3,5.9,21.8,1.3,1,15.9,14.3,,1.7,0.8,2.5,0.075,,-2,-0.1,-2.1,0
162,Cedi Osman,SF,26,CLE,65,1434,13.2,0.561,0.632,0.23,2,8.8,5.5,14.2,1.8,0.6,9.6,21.1,,1.2,1.5,2.8,0.093,,-0.2,0.4,0.2,0.8
163,Chris Paul,PG,36,PHO,65,2139,20.8,0.581,0.27,0.274,1.1,12.7,7.1,44.5,2.7,0.8,15.6,19.7,,5.8,3.6,9.4,0.211,,3.2,2.3,5.4,4
164,D'Angelo Russell,PG,25,MIN,65,2077,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.2,1.4,1,13.2,25.1,,3,1.5,4.4,0.102,,2.2,-1.5,0.8,1.4
165,Matisse Thybulle,SG,24,PHI,65,1650,11.2,0.591,0.48,0.145,2.9,7.1,5,6.2,3.4,3.8,11,9.6,,1.1,2.5,3.6,0.106,,-2.3,3.4,1.1,1.3
166,Fred VanVleet,PG,27,TOR,65,2462,17.4,0.552,0.585,0.202,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,,4,2.7,6.7,0.131,,3.1,0.5,3.6,3.5
167,Nickeil Alexander-Walker,SG,23,TOT,64,1460,10.5,0.475,0.495,0.161,2.8,11.5,7.1,16,1.6,1.5,11.4,24.1,,-1.1,1.1,0.1,0.002,,-1.8,-1.1,-2.9,-0.3
168,Dalano Banton,SF,22,TOR,64,696,10.1,0.463,0.252,0.218,5.6,14.2,9.7,19.7,2,1.4,19.3,16.9,,-0.4,0.8,0.4,0.03,,-3.4,0.4,-3,-0.2
169,Facundo Campazzo,PG,30,DEN,64,1175,11.1,0.504,0.651,0.267,2.3,8.7,5.6,23.8,2.5,1.8,16.8,14.7,,0.7,1.3,2,0.082,,-2.1,1.3,-0.8,0.4
170,Brandon Clarke,PF,25,MEM,64,1246,23.7,0.66,0.049,0.291,11.1,17.8,14.4,10.3,1.5,4.9,6.3,17.7,,4.4,1.9,6.3,0.244,,3.1,1.1,4.2,2
171,Cade Cunningham,PG,20,DET,64,2088,13.1,0.504,0.352,0.163,2.9,16.1,9.2,29.1,1.8,1.9,17.5,27.5,,-2.4,1.9,-0.5,-0.011,,-1.1,-0.5,-1.7,0.2
172,Seth Curry,SG,31,TOT,64,2135,13.7,0.615,0.506,0.127,1.1,9.1,5.2,16.4,1.2,0.6,12.3,18.5,,2.7,1.5,4.2,0.094,,0.3,-0.9,-0.6,0.8
173,Stephen Curry,PG,33,GSW,64,2211,21.4,0.601,0.613,0.243,1.7,14.5,8.3,30.6,1.9,1,13.2,30.8,,4.6,3.4,8,0.173,,5.4,0.4,5.8,4.3
174,Luka Don?i?,PG,22,DAL,64,2272,25,0.57,0.407,0.347,2.7,25.9,14.3,46,1.6,1.4,15.3,37.4,,3.7,3.8,7.5,0.158,,6.4,1.8,8.2,5.9
175,Javonte Green,SF,28,CHI,64,1479,14.2,0.64,0.312,0.303,6.9,13.5,10.2,5.2,2.1,1.9,7.7,11.6,,2.9,1.5,4.3,0.14,,-0.6,0.7,0.1,0.8
176,Garrison Mathews,SG,25,HOU,64,1680,10.9,0.598,0.837,0.39,2.1,10,6,5.4,1.6,1.2,7.2,14.4,,2.1,0.5,2.7,0.076,,-1.4,-1,-2.4,-0.2
177,Josh Richardson,SG,28,TOT,64,1572,12.7,0.57,0.458,0.203,2.9,9.4,6.2,10.2,1.7,1.7,10.1,17.5,,1.5,1.9,3.5,0.106,,-0.7,0.8,0.1,0.9
178,Dennis Schröder,SG-PG,28,TOT,64,1837,13.1,0.539,0.345,0.254,2,10.5,6.3,24.3,1.4,0.4,15.1,22.6,,1,1.9,2.9,0.076,,-1.5,-0.4,-1.9,0
179,Ish Smith,PG,33,TOT,64,1109,12.6,0.466,0.159,0.057,2.5,11.2,6.9,31.7,1.9,1.8,14.8,19.9,,-0.2,0.8,0.6,0.026,,-2.1,-0.7,-2.8,-0.2
180,P.J. Washington,PF,23,CHO,64,1743,13.6,0.585,0.57,0.152,4.9,15.7,10.2,11.3,1.6,3.3,12.6,15.7,,1.7,1.5,3.3,0.09,,-0.2,0.1,-0.1,0.9
181,Hassan Whiteside,C,32,UTA,64,1148,22.8,0.659,0,0.497,16.2,29.8,23.2,3,0.9,7.7,11.5,17.2,,3.3,2.3,5.6,0.234,,0.6,1.3,1.9,1.1
182,R.J. Hampton,SG,20,ORL,63,1369,8.2,0.476,0.399,0.263,1.6,12.9,7.3,16.7,1.5,0.9,14.9,18.3,,-1.4,1.1,-0.3,-0.011,,-4.2,-0.1,-4.2,-0.8
183,Kyle Lowry,PG,35,MIA,63,2133,15,0.6,0.609,0.278,1.8,13,7.5,32.3,1.6,0.8,19.3,18.2,,3.7,2.7,6.4,0.144,,1.1,0.8,2,2.1
184,Ben McLemore,SG,28,POR,63,1260,11.5,0.561,0.776,0.157,1,7.9,4.3,7.1,1.4,0.8,8.6,21.5,,0.5,0.1,0.7,0.026,,-0.8,-2.6,-3.4,-0.5
185,Otto Porter Jr.,PF,28,GSW,63,1396,15.9,0.581,0.519,0.147,6.9,21,14.1,9.6,2.4,2,7.7,15,,2.2,2.7,4.9,0.168,,0.9,2.1,3,1.8
186,Terrence Ross,SG,30,ORL,63,1448,10,0.515,0.477,0.235,1.5,10.3,5.9,12.5,0.9,0.8,10.9,20.5,,-0.5,0.8,0.3,0.011,,-2.6,-1.2,-3.7,-0.6
187,Bogdan Bogdanovi?,SG,29,ATL,62,1821,15.4,0.564,0.577,0.144,1.8,12.8,7.3,15.2,1.8,0.7,7.8,21.6,,2.5,1.1,3.6,0.094,,1.5,-0.3,1.2,1.5
188,Avery Bradley,SG,31,LAL,62,1406,7.9,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,0.04,,-3.5,-0.1,-3.6,-0.6
189,Wendell Carter Jr.,C,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.8,,2.6,2.4,5,0.129,,1,0.6,1.6,1.7
190,Aaron Holiday,PG,25,TOT,62,988,13,0.558,0.296,0.202,2.5,10.3,6.5,20.8,2,0.8,15.9,18.5,,0.6,0.9,1.5,0.075,,-1.7,0.4,-1.3,0.2
191,James Johnson,PF,34,BRK,62,1191,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.6,1.2,2.6,12.7,13.7,,0.6,1.1,1.7,0.068,,-2.7,0.5,-2.2,-0.1
192,Damion Lee,SG,29,GSW,62,1233,10.7,0.559,0.495,0.194,2.4,14.8,8.8,7.1,1.5,0.5,8.5,15.8,,0.8,1.7,2.5,0.099,,-2.5,0.4,-2.1,0
193,Domantas Sabonis,C-PF,25,TOT,62,2136,21.9,0.637,0.162,0.429,10.3,29,19.5,23.6,1.3,1.1,17.5,22.3,,5.3,1.8,7.1,0.16,,3.2,0.9,4,3.2
194,Lamar Stevens,PF,24,CLE,62,994,11.5,0.548,0.21,0.243,5.1,12.6,9,6.3,1.6,1.5,10,16.9,,0.5,1.2,1.7,0.083,,-3.1,0.3,-2.7,-0.2
195,Moritz Wagner,C,24,ORL,62,930,18.1,0.624,0.504,0.33,4.7,20.4,12.5,15.1,0.9,1.3,10.9,23,,1.8,0.9,2.7,0.138,,1.5,0,1.5,0.8
196,Danny Green,SF,34,PHI,61,1334,9.6,0.565,0.846,0.044,2.7,10,6.4,6.5,2.1,2.5,11.7,12.4,,0.4,1.5,1.9,0.068,,-1.2,0.8,-0.5,0.5
197,Gary Harris,SG,27,ORL,61,1730,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.6,1.6,0.5,9.3,16.4,,1.1,1,2.1,0.06,,-2,-0.4,-2.4,-0.2
198,CJ McCollum,SG,30,TOT,61,2140,18.4,0.554,0.402,0.146,2.7,11.4,6.9,26.1,1.6,1,9.3,27.5,,2.7,1,3.7,0.082,,3.3,-1.3,2,2.2
199,Jordan McLaughlin,PG,25,MIN,61,883,13.6,0.533,0.427,0.201,2.6,8.7,5.6,26.1,3.1,1,14.3,12,,1.3,1,2.3,0.125,,-1.1,1.6,0.5,0.6
200,Trey Murphy III,SF,21,NOP,61,837,12.3,0.558,0.682,0.189,6,12.8,9.3,6.2,1.2,0.8,5,15.4,,1.3,0.6,1.8,0.105,,0.1,-1.4,-1.3,0.2
201,Jaylen Nowell,SG,22,MIN,61,954,16.8,0.58,0.387,0.229,2.4,11.6,6.9,20.3,1.3,0.9,7.3,20.9,,2.1,0.7,2.8,0.14,,1.4,-0.6,0.7,0.7
202,Jordan Nwora,SF,23,MIL,61,1141,9.9,0.509,0.499,0.082,3.4,15.9,9.8,6.8,1.1,1.4,10.8,19.1,,-0.4,1,0.6,0.027,,-2.7,-1.3,-4,-0.6
203,Aleksej Pokusevski,PF,20,OKC,61,1233,12,0.485,0.432,0.11,6,20.7,13.3,16.5,1.5,2.9,16.4,20,,-1.1,1.5,0.4,0.016,,-2.7,0.1,-2.5,-0.2
204,Coby White,PG,21,CHI,61,1675,12.6,0.564,0.548,0.141,1.1,11,6.1,15,0.8,0.6,9.3,19.9,,1.6,0.8,2.3,0.067,,-0.4,-1.7,-2.2,-0.1
205,Robert Williams,C,24,BOS,61,1804,22.1,0.745,0.003,0.245,14.6,20.6,17.7,9.8,1.5,6.8,13.4,11.5,,6,3.9,9.9,0.262,,2.4,3.1,5.4,3.4
206,Ziaire Williams,SF,20,MEM,61,1319,9.6,0.563,0.569,0.131,1.9,8.1,5,6.4,1.2,0.8,8.7,14.6,,1.1,1.1,2.2,0.081,,-2.5,-0.5,-3,-0.3
207,Trent Forrest,PG,23,UTA,60,765,10.9,0.554,0.174,0.31,3.4,10.5,7.1,18.6,1.9,0.7,21.4,12.8,,0.5,0.8,1.3,0.082,,-2.3,1.2,-1.1,0.2
208,Dwight Howard,C,36,LAL,60,971,18.2,0.657,0.068,0.667,13.1,26.3,19.7,5,1.7,3.3,14.2,14.6,,2.2,1.3,3.5,0.174,,-0.3,0,-0.3,0.4
209,Tre Mann,PG,20,OKC,60,1367,10.2,0.501,0.463,0.139,1.9,11.1,6.4,10.7,1.7,0.8,10.2,22,,-1,1.1,0.1,0.004,,-3.2,-1.1,-4.3,-0.8
210,Lauri Markkanen,PF,24,CLE,60,1857,14.4,0.576,0.539,0.225,3.6,16.3,10.1,6.6,1.2,1.4,6.6,19.4,,2.5,2.3,4.7,0.123,,0.2,-0.1,0.2,1
211,Caleb Martin,SF,26,MIA,60,1372,14.8,0.611,0.378,0.227,5.9,13,9.5,7,2.1,2.3,10.3,16.3,,1.9,2.1,4,0.141,,0.1,1,1.1,1.1
212,Kevin Porter Jr.,PG,21,HOU,60,1867,13.4,0.531,0.511,0.246,2.4,12.9,7.6,30.8,1.8,1.1,17.9,24,,0,0.8,0.8,0.021,,-0.2,-1.5,-1.6,0.2
213,Austin Reaves,SG,23,LAL,60,1376,10.8,0.596,0.538,0.346,3.1,10.7,6.9,9.6,0.9,1.2,9.6,12,,1.8,0.7,2.5,0.088,,-1.6,-0.6,-2.3,-0.1
214,Nicolas Batum,PF,33,LAC,59,1462,13.5,0.608,0.698,0.098,2.2,15.9,9.2,9.7,1.9,2.4,9,13.3,,1.6,2,3.7,0.121,,0.4,1.8,2.2,1.6
215,De'Aaron Fox,PG,24,SAC,59,2083,17.5,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,,1.6,1,2.5,0.058,,0.6,-1.3,-0.7,0.7
216,Talen Horton-Tucker,SG,21,LAL,59,1498,11,0.504,0.338,0.226,2.6,11.2,6.9,14.7,1.9,1.7,12.2,19.1,,-0.2,1.3,1,0.033,,-3.2,-0.1,-3.3,-0.5
217,Maxi Kleber,PF,30,DAL,59,1450,11,0.537,0.72,0.184,5.4,21.5,13.4,6.5,1,3.6,10.9,13.4,,0.7,2.3,3,0.099,,-1.6,1.2,-0.4,0.6
218,Chimezie Metu,C,24,SAC,59,1249,13.3,0.545,0.414,0.2,2.9,26,14.3,6.9,1.8,2.2,11,18.7,,0.1,1.3,1.4,0.053,,-1.6,0,-1.6,0.1
219,Deandre Ayton,C,23,PHO,58,1713,21.9,0.656,0.027,0.204,9.6,27,18.6,7.5,1.1,2.1,10.7,21.4,,4.2,3.1,7.3,0.204,,2.2,0.6,2.8,2.1
220,Keita Bates-Diop,SF,26,SAS,58,943,12.3,0.578,0.214,0.23,6.6,18.7,12.6,5.6,1.4,1.2,13.7,14.7,,0.6,1,1.6,0.079,,-2.2,-0.4,-2.6,-0.1
221,Hamidou Diallo,SG,23,DET,58,1269,15.7,0.541,0.177,0.266,5.6,18.6,11.8,9.8,2.7,1.2,9,21.8,,0.6,1.5,2.1,0.08,,-1.2,0.7,-0.5,0.5
222,Frank Ntilikina,PG,23,DAL,58,685,10.4,0.513,0.498,0.112,1.9,10.9,6.4,14.7,2,0.9,11.7,17.4,,0.1,0.9,0.9,0.066,,-2.9,0.9,-2,0
223,Cameron Payne,PG,27,PHO,58,1278,13.8,0.5,0.359,0.152,2.1,12.3,7.3,30.6,1.5,1.2,14.1,24.6,,0.2,1.8,1.9,0.073,,-0.3,0.4,0,0.7
224,Garrett Temple,SG,35,NOP,58,1074,8.9,0.497,0.627,0.143,2.9,11.8,7.3,9.4,2,2.1,11.6,13.8,,0,1,1,0.043,,-2.7,0.5,-2.2,-0.1
225,Patrick Beverley,PG,33,MIN,57,1461,14.8,0.539,0.557,0.298,4.4,13.3,8.8,24.4,2.2,3.4,13,16.1,,2.3,1.7,4,0.133,,0.6,2.1,2.7,1.8
226,Jimmy Butler,SF,32,MIA,57,1931,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,,6.3,3,9.2,0.23,,4.5,1.9,6.4,4
227,CJ Elleby,SF,21,POR,57,1146,9,0.482,0.407,0.278,5.9,15.9,10.7,10.7,1.4,1.6,14,14.9,,-0.2,0.5,0.3,0.011,,-3.8,-1.6,-5.5,-1
228,Eric Gordon,SG,33,HOU,57,1669,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.5,,1.5,0,1.4,0.041,,-0.1,-2.2,-2.3,-0.1
229,Caris LeVert,SG,27,TOT,57,1752,15.2,0.526,0.296,0.226,2.7,10.9,6.8,22,1.4,1.1,10.3,25.6,,1.2,1,2.2,0.06,,0.2,-1.3,-1.1,0.4
230,Ja Morant,PG,22,MEM,57,1889,24.5,0.575,0.218,0.353,4.2,14,9,34.1,1.7,1,12.6,33.8,,4.6,2.2,6.8,0.174,,6.2,-0.1,6.1,3.9
231,Eric Paschall,PF,25,UTA,57,731,13.7,0.612,0.47,0.365,4.6,10.9,7.9,7.1,0.6,0.6,9.2,17.5,,1.4,0.5,1.9,0.125,,0.4,-1,-0.6,0.3
232,Anfernee Simons,SG,22,POR,57,1681,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,,2.1,-0.1,2,0.056,,2,-2.7,-0.7,0.5
233,Bam Adebayo,C,24,MIA,56,1825,21.9,0.608,0.008,0.466,8.7,26.1,17.6,17.5,2.2,2.5,14.4,25.1,,3.6,3.6,7.2,0.189,,1.7,2.1,3.8,2.7
234,Jarrett Allen,C,23,CLE,56,1809,23.1,0.698,0.018,0.428,12,24.6,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3,8.5,0.225,,2.7,1.2,3.8,2.7
235,DeAndre' Bembry,SF,27,TOT,56,1026,11.9,0.601,0.163,0.158,4.5,12.5,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.104,,-2.2,1.5,-0.7,0.3
236,Shai Gilgeous-Alexander,PG,23,OKC,56,1942,20.9,0.557,0.282,0.385,1.9,12.9,7.4,31.1,1.8,2.2,11.1,30.8,,2.8,1.9,4.7,0.116,,2.9,0.5,3.5,2.7
237,Blake Griffin,PF,32,BRK,56,958,13.8,0.518,0.463,0.243,7,18.7,12.9,15,1.4,1.3,8.2,16.9,,1.2,0.9,2.1,0.106,,-0.6,0,-0.6,0.3
238,LeBron James,SF,37,LAL,56,2084,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,,5.2,2.3,7.5,0.173,,6.9,0.8,7.6,5.1
239,Jusuf Nurki?,C,27,POR,56,1579,20.1,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,,2,1.6,3.6,0.11,,0.1,0.2,0.3,0.9
240,Tristan Thompson,PF,30,TOT,56,882,14.7,0.538,0.011,0.429,14.6,20.8,17.7,5.5,1.3,2.1,12.7,17.4,,0.8,0.7,1.5,0.084,,-1.7,-1.4,-3.1,-0.3
241,Lou Williams,PG,35,ATL,56,799,12.2,0.5,0.319,0.244,2.2,9.7,6,18.6,1.7,0.3,10.8,21.7,,0.2,0.4,0.6,0.034,,-2,-1.4,-3.4,-0.3
242,D?vis Bert?ns,PF,29,TOT,55,794,9.1,0.525,0.838,0.148,1.7,14.4,8.1,5.5,1,1.3,6.2,17.3,,0.2,0.6,0.8,0.048,,-1.8,-0.9,-2.8,-0.2
243,Chris Duarte,SG,24,IND,55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,,0.3,0.7,1,0.03,,-1.2,-1.1,-2.3,-0.1
244,Brandon Ingram,SF,24,NOP,55,1869,18.7,0.554,0.23,0.328,2,17.2,9.5,27.8,0.9,1.3,11.8,29.3,,2.5,1.4,3.9,0.1,,2.6,-0.6,2,1.9
245,Damian Jones,C,26,SAC,55,987,18.1,0.696,0.105,0.49,8.1,18.6,13.2,10,1.3,4,15.7,16.1,,2.3,0.8,3.1,0.152,,-0.4,0.5,0.1,0.5
246,Jeremy Lamb,SF-SG,29,TOT,55,920,13.5,0.518,0.491,0.308,3.1,15.5,9.2,12.5,1.6,2.1,8,19.8,,0.7,0.6,1.3,0.067,,-0.3,-0.4,-0.7,0.3
247,Svi Mykhailiuk,SF,24,TOR,55,708,9.6,0.51,0.566,0.162,2.9,11.6,7,8.9,1.8,0.6,11.3,16.6,,0.1,0.7,0.8,0.054,,-2.7,-0.3,-2.9,-0.2
248,Omer Yurtseven,C,23,MIA,55,671,18.2,0.564,0.034,0.253,14,33.7,24,11.4,1.2,3,13.1,19.8,,0.9,1.3,2.2,0.161,,-0.9,0.7,-0.2,0.3
249,D.J. Augustin,PG,34,TOT,54,868,10,0.619,0.734,0.188,1.4,7,4.2,16.8,0.9,0.1,18.6,14.2,,0.8,0.1,0.9,0.049,,-1,-2.3,-3.3,-0.3
250,Khem Birch,C,29,TOR,54,972,13.1,0.532,0.071,0.36,12.7,13.4,13,7.5,1.5,2.6,11.3,11.3,,1.5,1,2.5,0.124,,-1.7,0.4,-1.4,0.2
251,Eric Bledsoe,PG,32,LAC,54,1361,12.6,0.514,0.348,0.25,2.2,11.7,7.1,24.2,2.5,1.2,18.3,20.5,,-0.5,1.7,1.3,0.045,,-2.1,1.2,-0.9,0.4
252,Tony Bradley,C,24,CHI,54,534,14.6,0.599,0,0.235,12.9,24.5,18.7,6.6,0.9,5.2,19.6,13,,0.6,0.7,1.2,0.111,,-2.1,0.4,-1.7,0
253,John Collins,PF,24,ATL,54,1663,18.7,0.61,0.273,0.262,6.1,21.5,13.9,9,1,3,7.7,20.5,,3.6,1.4,5.1,0.146,,1.5,-0.1,1.5,1.5
254,Kevin Durant,PF,33,BRK,54,2007,25.8,0.637,0.268,0.363,1.6,19.5,10.8,28.6,1.1,2.3,12.7,31.3,,6.4,2,8.4,0.201,,6.6,0.8,7.4,4.8
255,Rudy Gay,PF,35,UTA,54,1020,13.1,0.54,0.538,0.207,6,19.1,12.8,7.6,1.2,1.6,10,19.3,,0.9,1.2,2,0.096,,-0.6,-0.4,-1,0.3
256,Josh Giddey,SG,19,OKC,54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,,-1.3,1.7,0.4,0.012,,-1.2,0.3,-0.9,0.5
257,Josh Hart,SG-SF,26,TOT,54,1791,16.1,0.61,0.374,0.371,3.7,20.6,12,18.9,1.7,0.7,14.7,18.7,,2.8,1.6,4.4,0.118,,0.5,0.5,1,1.4
258,George Hill,SG,35,MIL,54,1253,10.2,0.552,0.487,0.225,3.3,9.7,6.6,12.4,1.6,0.5,11.9,11.7,,1.3,1,2.3,0.088,,-2.2,0.6,-1.5,0.1
259,Serge Ibaka,C-PF,32,TOT,54,877,14.4,0.579,0.334,0.149,7.7,22.2,15.1,8.4,0.6,3.3,12,17.8,,0.9,1.1,2,0.108,,-1.3,-0.2,-1.6,0.1
