Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
10,Kenny Anderson,PG,25,NJN,31,1042,19.8,0.511,0.261,0.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,,2.7,1,3.7,0.172,,4.2,1.2,5.4,1.9
10,Kenny Anderson,PG,25,CHH,38,1302,19.2,0.555,0.346,0.33,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,,3.4,0.6,4,0.148,,4.1,-0.6,3.4,1.8
11,Nick Anderson,SG,28,ORL,77,2717,16.5,0.562,0.476,0.265,4,13.5,8.9,15.6,2.3,1.2,12.3,19.1,,4.2,3.3,7.4,0.131,,2.3,0.6,2.9,3.4
12,Willie Anderson,SG,29,TOT,76,2060,11.3,0.507,0.182,0.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,,0,1.5,1.4,0.033,,-2.4,0.2,-2.2,-0.1
12,Willie Anderson,SG,29,TOR,49,1564,11.9,0.518,0.18,0.25,2.7,11.6,7.1,15.1,1.9,2.5,16.9,19.8,,0.1,0.8,0.9,0.027,,-2,-0.1,-2.1,0
12,Willie Anderson,SG,29,NYK,27,496,9.2,0.464,0.188,0.233,3.2,10.9,7.2,15,1.8,1.2,14.1,16,,-0.2,0.7,0.5,0.052,,-3.6,1.2,-2.4,-0.1
13,Greg Anthony,PG,28,VAN,69,2096,18.6,0.53,0.347,0.38,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,,2.9,1.9,4.8,0.111,,2.6,0.4,2.9,2.6
14,B.J. Armstrong,PG,28,GSW,82,2262,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,,6.2,0.8,7,0.149,,2.7,-0.8,1.8,2.2
15,Darrell Armstrong,PG,27,ORL,13,41,32.4,0.622,0.375,0.125,0,5.6,2.8,29.3,7.7,0,15.1,43.8,,0,0.1,0.1,0.158,,5.7,3.8,9.5,0.1
16,Vincent Askew,SG,29,SEA,69,1725,11.9,0.574,0.197,0.369,4.7,10,7.5,14.6,1.4,0.7,15.9,15.6,,2.2,2.2,4.3,0.12,,-0.5,0.4,-0.1,0.8
17,Keith Askins,SF,28,MIA,75,1897,10,0.55,0.606,0.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,,1.6,2.8,4.4,0.111,,-0.8,1.8,1,1.4
18,Stacey Augmon,SF,27,ATL,77,2294,15.9,0.556,0.005,0.43,6.8,9,7.8,10,2.5,1,13.6,19.9,,3.5,2.1,5.6,0.117,,0.1,0.3,0.4,1.4
19,Anthony Avent,PF,26,VAN,71,1586,6.9,0.415,0,0.165,7.7,18.9,13.1,7.4,1,2,17.6,17.5,,-2.8,1.6,-1.2,-0.037,,-6.5,-0.7,-7.3,-2.1
20,Vin Baker,PF,24,MIL,82,3319,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,,3.7,2.4,6.2,0.089,,1.2,-1.1,0.1,1.8
21,Steve Bardo,SG,27,DET,9,123,8.4,0.429,0.174,0.261,2,18.9,10.8,19.2,1.8,0.6,16.3,11.9,,0,0.2,0.2,0.069,,-4.4,1.9,-2.6,0
22,Charles Barkley*,PF,32,PHO,71,2632,24.8,0.585,0.151,0.488,10.9,25,18.1,17.4,2.2,1.6,13.4,27.5,,7,3.5,10.5,0.191,,5,0.6,5.7,5.1
23,Dana Barros,PG,28,BOS,80,2328,15.6,0.596,0.457,0.182,1,8.4,4.6,20.8,1.2,0.1,12.1,18.3,,4.8,0.8,5.6,0.116,,2.3,-1.1,1.1,1.8
24,Brent Barry,SG,24,LAC,79,1898,15.9,0.609,0.496,0.229,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,,3.7,1.2,4.9,0.124,,1.7,0.5,2.2,2
25,Jon Barry,SG,26,GSW,68,712,14.9,0.638,0.503,0.2,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,,1.4,0.4,1.8,0.122,,2,0.8,2.8,0.9
26,Corey Beck,PG,24,CHH,5,33,0.8,0.282,0,0.25,10.8,15,12.9,21,1.6,0,31.1,17.7,,-0.1,0,-0.1,-0.14,,-9,-0.7,-9.7,-0.1
27,Benoit Benjamin,C,31,TOT,83,1896,14.4,0.539,0.005,0.329,8.8,26.1,17.3,5.7,1.3,3.4,17.6,19.8,,0.1,2.2,2.3,0.057,,-2.3,-0.3,-2.6,-0.3
27,Benoit Benjamin,C,31,VAN,13,404,13.6,0.488,0,0.348,8.7,21.7,15,7.6,1.3,2.8,15.5,24.8,,-0.4,0.5,0.1,0.01,,-2.6,-1.2,-3.8,-0.2
27,Benoit Benjamin,C,31,MIL,70,1492,14.6,0.558,0.007,0.322,8.9,27.3,17.9,5.2,1.2,3.6,18.3,18.4,,0.5,1.7,2.2,0.07,,-2.2,-0.1,-2.3,-0.1
28,Elmer Bennett,PG,25,PHI,8,66,-0.5,0.293,0,0.235,1.7,7.2,4.4,18.7,0.8,1.1,27.2,17.4,,-0.3,0,-0.3,-0.2,,-8.3,-3,-11.3,-0.2
29,Mario Bennett,SF,22,PHO,19,230,13.3,0.515,0.016,0.656,10.7,13.9,12.3,3.9,2.5,3.6,11.8,18.1,,0.2,0.3,0.5,0.098,,-3.4,0.8,-2.6,0
30,David Benoit,SF,27,UTA,81,1961,12.2,0.524,0.33,0.193,5.8,17.9,12,6.3,1.2,2.1,10.1,16.4,,1.6,2.3,3.9,0.096,,-0.2,0,-0.2,0.9
31,Travis Best,PG,23,IND,59,571,11.5,0.545,0.153,0.552,2.5,7,4.8,26.8,1.9,0.4,23.7,21.4,,0.2,0.5,0.7,0.057,,-1.9,-0.4,-2.2,0
32,Mookie Blaylock,PG,28,ATL,81,2893,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,,5.4,3.6,9,0.149,,3.8,1.5,5.3,5.4
33,Corie Blount,PF,27,LAL,57,715,10.9,0.491,0.012,0.263,11.5,16.1,13.8,8.3,1.8,3.4,20.1,14.6,,-0.1,1,0.9,0.063,,-3.5,0.9,-2.7,-0.1
34,Muggsy Bogues,PG,31,CHH,6,77,10.6,0.415,0.063,0.125,9.3,1.6,5.5,35.1,1.4,0,26.2,13.4,,0,0,0,0.02,,0.1,-3,-2.9,0
35,Anthony Bonner,PF,27,ORL,4,43,11.3,0.36,0,0.467,16.6,34.4,25.7,13.5,3.6,0,14.2,22.2,,-0.1,0.1,0,0.04,,-7.9,-0.8,-8.7,-0.1
36,Melvin Booker,PG,23,HOU,11,131,6.2,0.401,0.38,0.22,0.9,6.8,3.9,24.5,2,0.5,18,22.9,,-0.3,0.1,-0.2,-0.065,,-7.3,-2.5,-9.8,-0.3
37,Anthony Bowie,SG,32,ORL,74,1078,10.4,0.527,0.114,0.169,4.4,8.8,6.6,14.2,1.6,0.7,15.8,14.6,,0.7,0.9,1.6,0.071,,-2.4,0.1,-2.3,-0.1
38,Donnie Boyce,SG,22,ATL,8,41,17.7,0.485,0.348,0.174,13.9,15,14.4,13.6,3.9,1.9,19.5,33.7,,-0.1,0.1,0,0.004,,1.6,-1,0.6,0
39,Shawn Bradley,C,23,TOT,79,2329,15.7,0.481,0.005,0.282,10.3,20.4,15.2,4.9,1.1,9.4,15.4,21.8,,-1.1,4.1,3,0.062,,-3.2,1.7,-1.4,0.3
39,Shawn Bradley,C,23,PHI,12,334,13.4,0.486,0,0.258,11.4,25.6,18.3,4.1,1.2,8.4,22.3,18.6,,-0.4,0.4,0,0.005,,-4.7,1.3,-3.4,-0.1
39,Shawn Bradley,C,23,NJN,67,1995,16.1,0.48,0.005,0.285,10.1,19.5,14.7,5,1.1,9.6,14.5,22.4,,-0.7,3.7,3,0.071,,-2.9,1.8,-1.1,0.4
40,Marques Bragg,PF,25,MIN,53,369,9.8,0.475,0,0.342,12.3,13.3,12.8,3.6,2.4,1.7,15.8,19.7,,-0.3,0.3,0.1,0.012,,-4.6,-1,-5.6,-0.3
41,Terrell Brandon,PG,25,CLE,75,2570,25.2,0.573,0.214,0.348,2.4,10.6,6.4,38.1,3,1.1,10.1,27.6,,9.5,3.1,12.7,0.237,,6,1.5,7.5,6.2
42,Tim Breaux,SF,25,HOU,54,570,6.2,0.445,0.286,0.28,4.5,7.4,6,6.3,1,1,14.2,16.6,,-0.6,0.3,-0.2,-0.021,,-4.5,-2.2,-6.7,-0.7
43,Frank Brickowski,C,36,SEA,63,986,8.6,0.585,0.313,0.341,3.3,14.3,9,9.1,1.3,0.6,21.2,16.7,,0.1,1.4,1.6,0.076,,-4.1,0.3,-3.8,-0.4
44,Scott Brooks,PG,30,DAL,69,716,16.6,0.544,0.212,0.235,1.5,4.8,3,23.4,3,0.3,11.7,21.3,,1.2,0.4,1.6,0.11,,0.1,0.4,0.5,0.5
45,Chucky Brown,PF,27,HOU,82,2019,13.7,0.568,0.014,0.27,7.7,16.8,12.4,7,1.2,1.3,13.1,15.9,,2.2,2.1,4.2,0.101,,-1.2,-0.4,-1.6,0.2
46,Dee Brown,PG,27,BOS,65,1591,13.7,0.507,0.357,0.256,2.5,7.2,4.8,14.3,2.5,0.5,9.7,20.5,,1.4,1,2.4,0.073,,-0.5,0,-0.5,0.6
47,Mike Brown,C,32,PHI,9,162,7.3,0.554,0,1.063,9.7,16.8,13.2,2.8,1,0.9,20.4,8.1,,0.1,0.1,0.1,0.037,,-4.4,-1.7,-6.1,-0.2
48,P.J. Brown,C,26,NJN,81,2942,12.6,0.5,0.019,0.332,7.9,13.2,10.5,9.3,1.4,2.6,12.7,15.6,,2,3.3,5.3,0.087,,-1.3,0.7,-0.5,1.1
49,Randy Brown,PG,27,CHI,68,671,11.2,0.436,0.057,0.24,3,8.5,5.7,15.1,4.5,1.4,12.7,16,,0,1.5,1.5,0.105,,-4.3,4,-0.2,0.3
50,Mark Bryant,PF,30,HOU,71,1587,13.1,0.583,0.004,0.397,9.6,15.3,12.5,5.2,1,0.9,14,17.3,,2.1,1.4,3.6,0.107,,-2.5,-1.1,-3.7,-0.7
51,Jud Buechler,SF,27,CHI,74,740,14.1,0.552,0.372,0.091,7.1,10.4,8.7,11.1,2.4,0.7,13.4,17.3,,1,1.2,2.3,0.148,,0.8,1,1.7,0.7
52,Matt Bullard,PF,28,ATL,46,460,11.5,0.509,0.444,0.123,4.4,11.3,7.7,6.4,2,1.9,12.3,19,,0.2,0.4,0.6,0.065,,-1.4,-0.3,-1.6,0
53,Scott Burrell,SF,25,CHH,20,693,13,0.57,0.476,0.272,4.5,12.9,8.6,10.5,2,1.4,15.7,17.9,,0.6,0.4,1.1,0.075,,0,0.1,0.1,0.4
