Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kelly Tripucka,SF,23,DET,58,58,38.8,9.7,19.9,0.489,0.2,0.6,0.378,9.5,19.3,0.492,0.495,6.8,8,0.845,2.2,2.4,4.6,4.1,1.2,0.3,3.2,2.7,26.5
2,Isiah Thomas*,PG,21,DET,81,81,38.2,9,19,0.472,0.4,1.5,0.288,8.5,17.4,0.488,0.483,4.5,6.4,0.71,1.3,2.8,4,7.8,2.5,0.4,4,3.9,22.9
3,Joe Barry Carroll,C,24,GSW,79,79,37.8,9.9,19.4,0.513,0,0,0,9.9,19.3,0.514,0.513,4.3,5.9,0.719,2.8,5.9,8.7,2.1,1.4,2,3.6,3.3,24.1
4,Larry Bird*,PF,26,BOS,79,79,37.7,9.5,18.7,0.504,0.3,1,0.286,9.2,17.8,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11,5.8,1.9,0.9,3,2.5,23.6
5,Mychal Thompson,C,28,POR,80,80,37.7,6.3,12.9,0.489,0,0,0,6.3,12.9,0.489,0.489,3.1,5,0.621,2.3,7.1,9.4,4.8,0.9,1.4,3.5,2.7,15.7
6,Moses Malone*,C,27,PHI,78,78,37.5,8.4,16.7,0.501,0,0,0,8.4,16.7,0.502,0.501,7.7,10.1,0.761,5.7,9.6,15.3,1.3,1.1,2,3.4,2.6,24.5
7,Rick Mahorn,PF,24,WSB,82,82,36.9,4.6,9.4,0.49,0,0,0,4.6,9.3,0.492,0.49,1.8,3.1,0.575,2.1,7.4,9.5,1.4,1,1.8,2.1,4.1,11
8,Magic Johnson*,SG,23,LAL,79,79,36.8,6.5,11.8,0.548,0,0.3,0,6.5,11.5,0.56,0.548,3.8,4.8,0.8,2.7,5.9,8.6,10.5,2.2,0.6,3.8,2.5,16.8
9,Dan Roundfield,PF,29,ATL,77,76,36.5,7.3,15.5,0.47,0.1,0.4,0.185,7.2,15.1,0.477,0.472,4.4,5.8,0.749,3.4,8.1,11.4,2.9,0.8,1.5,3.2,3.1,19
10,Greg Ballard,SF,28,WSB,78,78,36.4,7.7,16.3,0.473,0.2,0.5,0.351,7.6,15.9,0.477,0.478,2.3,3,0.781,1.6,4.9,6.5,3.4,1.7,0.3,2,2.3,18
