Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rodney McCray,SF,28,SAC,82,82,39.5,6.5,12.7,0.515,0.1,0.5,0.262,6.4,12.2,0.525,0.52,3.3,4.2,0.784,2.3,5.8,8.2,4.6,0.7,0.9,2.1,2.1,16.6
2,Larry Bird*,SF,33,BOS,75,75,39.3,9.6,20.2,0.473,0.9,2.6,0.333,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3
3,Charles Barkley*,SF,26,PHI,79,79,39.1,8.9,14.9,0.6,0.3,1.2,0.217,8.7,13.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2
4,Michael Jordan*,SG,26,CHI,82,82,39,12.6,24,0.526,1.1,3,0.376,11.5,21,0.548,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3,2.9,33.6
5,Reggie Miller*,SG,24,IND,82,82,38.9,8.1,15.7,0.514,1.8,4.4,0.414,6.2,11.3,0.552,0.572,6.6,7.6,0.868,1.2,2.4,3.6,3.8,1.3,0.2,2.7,2.1,24.6
6,Tony Campbell,SG,27,MIN,82,81,38.6,8.8,19.3,0.457,0.1,0.7,0.167,8.7,18.6,0.468,0.46,5.5,6.9,0.787,2.5,3,5.5,2.6,1.4,0.4,3.1,3.2,23.2
7,Patrick Ewing*,C,27,NYK,82,82,38.6,11.2,20.4,0.551,0,0,0.25,11.2,20.4,0.552,0.551,6.1,7.9,0.775,2.9,8,10.9,2.2,1,4,3.4,4,28.6
8,Scottie Pippen*,SF,24,CHI,82,82,38.4,6.9,14,0.489,0.3,1.4,0.25,6.5,12.7,0.514,0.501,2.4,3.6,0.675,1.8,4.8,6.7,5.4,2.6,1.2,3.4,3.6,16.5
9,Karl Malone*,PF,26,UTA,82,82,38.1,11.1,19.8,0.562,0.2,0.5,0.372,11,19.3,0.567,0.567,8.5,11.1,0.762,2.8,8.3,11.1,2.8,1.5,0.6,3.7,3.2,31
10,Hakeem Olajuwon*,C,27,HOU,82,82,38.1,9.8,19.6,0.501,0,0.1,0.167,9.8,19.5,0.502,0.501,4.7,6.5,0.713,3.6,10.4,14,2.9,2.1,4.6,3.9,3.8,24.3
11,Tom Chambers,PF,30,PHO,81,81,37.6,10,20,0.501,0.3,1.1,0.279,9.7,18.9,0.513,0.508,6.9,8,0.861,1.5,5.6,7,2.3,1.1,0.6,2.7,3.2,27.2
12,Kevin Johnson,PG,23,PHO,74,74,37.6,7.8,15.7,0.499,0.1,0.6,0.195,7.7,15.1,0.51,0.502,6.8,8.1,0.838,0.6,3.1,3.6,11.4,1.3,0.2,3.6,1.9,22.5
13,John Stockton*,PG,27,UTA,78,78,37.4,6.1,11.8,0.514,0.6,1.4,0.416,5.4,10.3,0.528,0.54,4.5,5.5,0.819,0.7,1.9,2.6,14.5,2.7,0.2,3.5,3,17.2
14,Magic Johnson*,PG,30,LAL,79,79,37.2,6.9,14.4,0.48,1.3,3.5,0.384,5.6,10.9,0.51,0.526,7.2,8.1,0.89,1.6,5,6.6,11.5,1.7,0.4,3.7,2.1,22.3
15,Wayman Tisdale,PF,25,SAC,79,79,37.2,9.2,17.5,0.525,0,0.1,0,9.2,17.4,0.527,0.525,3.9,4.9,0.783,2.3,5.2,7.5,1.4,0.7,0.7,1.9,3.2,22.3
16,Mark Price,PG,25,CLE,73,73,37.1,6.7,14.6,0.459,2.1,5.1,0.406,4.6,9.5,0.487,0.53,4.1,4.6,0.888,0.9,2.5,3.4,9.1,1.6,0.1,2.9,1.2,19.6
17,Dale Ellis,SG,29,SEA,55,49,37,9.1,18.4,0.497,1.7,4.7,0.375,7.4,13.7,0.538,0.544,3.5,4.3,0.818,1.6,2.7,4.3,2,1.1,0.1,2.2,2.3,23.5
18,Isiah Thomas*,PG,28,DET,81,81,37,7.1,16.3,0.438,0.5,1.7,0.309,6.6,14.6,0.453,0.454,3.6,4.7,0.775,0.9,2.9,3.8,9.4,1.7,0.2,4,2.5,18.4
19,James Worthy*,SF,28,LAL,80,80,37,8.9,16.2,0.548,0.2,0.6,0.306,8.7,15.6,0.557,0.554,3.1,4,0.782,2,4,6,3.6,1.2,0.6,2,2.4,21.1
20,Clyde Drexler*,SG,27,POR,73,73,36.8,9.2,18.6,0.494,0.4,1.5,0.283,8.8,17.1,0.512,0.505,4.6,5.9,0.774,2.8,4.1,6.9,5.9,2,0.7,2.6,3,23.3
21,Rolando Blackman,SG,30,DAL,80,80,36.7,7.8,15.7,0.498,0.2,0.5,0.302,7.7,15.2,0.505,0.504,3.6,4.3,0.844,1.1,2.4,3.5,3.6,1,0.3,2.2,1.6,19.4
22,Tyrone Corbin,SF,27,MIN,82,80,36.7,6.4,13.2,0.481,0,0.1,0,6.4,13.1,0.486,0.481,2,2.5,0.77,2.7,4.7,7.4,2.6,2.1,0.5,1.7,3.5,14.7
