Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chris Mullin*,SF,28,GSW,81,81,41.3,10.2,19.6,0.524,0.8,2.2,0.366,9.5,17.4,0.544,0.544,4.3,5.2,0.833,1.6,4,5.6,3.5,2.1,0.8,2.5,2.1,25.6
2,Tim Hardaway*,PG,25,GSW,81,81,41.1,9.1,19.7,0.461,1.6,4.6,0.338,7.5,15,0.499,0.501,3.7,4.8,0.766,1,2.8,3.8,10,2,0.2,3.3,2.6,23.4
3,Dennis Rodman*,PF,30,DET,82,80,40.3,4.2,7.7,0.539,0.4,1.2,0.317,3.8,6.5,0.581,0.564,1,1.7,0.6,6.4,12.3,18.7,2.3,0.8,0.9,1.7,3,9.8
4,James Worthy*,SF,30,LAL,54,54,39,8.3,18.6,0.447,0.2,0.8,0.209,8.2,17.9,0.457,0.451,3.1,3.8,0.814,1.8,3.8,5.6,4.7,1.4,0.4,2.4,1.6,19.9
5,Joe Dumars*,SG,28,DET,82,82,38.9,7.2,16,0.448,0.6,1.5,0.408,6.6,14.5,0.452,0.466,5,5.8,0.867,1,1.3,2.3,4.6,0.9,0.1,2.4,1.8,19.9
6,Michael Jordan*,SG,28,CHI,80,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.533,0.526,6.1,7.4,0.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1
7,Mitch Richmond*,SG,26,SAC,80,80,38.7,8.6,18.3,0.468,1.3,3.4,0.384,7.3,15,0.486,0.503,4.1,5.1,0.813,0.8,3.2,4,5.1,1.2,0.4,3.1,2.9,22.5
8,Scottie Pippen*,SF,26,CHI,82,82,38.6,8.4,16.6,0.506,0.2,1,0.2,8.2,15.6,0.525,0.511,4,5.3,0.76,2.3,5.4,7.7,7,1.9,1.1,3.1,3,21
9,Charles Barkley*,SF,28,PHI,75,75,38.4,8.3,15,0.552,0.4,1.8,0.234,7.9,13.2,0.597,0.567,6.1,8.7,0.695,3.6,7.5,11.1,4.1,1.8,0.6,3.1,2.6,23.1
10,Patrick Ewing*,C,29,NYK,82,82,38.4,9.7,18.6,0.522,0,0.1,0.167,9.7,18.5,0.523,0.522,4.6,6.2,0.738,2.8,8.5,11.2,1.9,1.1,3,2.5,3.4,24
11,Ron Harper,SG,28,LAC,82,82,38.3,6.9,15.8,0.44,0.8,2.6,0.303,6.2,13.2,0.467,0.465,3.6,4.9,0.736,1.5,4,5.5,5.1,1.9,0.9,3.1,2.4,18.2
12,Dikembe Mutombo*,C,25,DEN,71,71,38.3,6,12.2,0.493,0,0,,6,12.2,0.493,0.493,4.5,7,0.642,4.5,7.8,12.3,2.2,0.6,3,3.5,3.8,16.6
13,Glen Rice,SF,24,MIA,79,79,38.1,8.5,18.1,0.469,2,5,0.391,6.5,13.1,0.499,0.523,3.4,4,0.836,1.1,3.9,5,2.3,1.1,0.4,1.8,2.2,22.3
14,Dominique Wilkins*,SF,32,ATL,42,42,38.1,10.1,21.8,0.464,0.9,3,0.289,9.2,18.7,0.492,0.484,7,8.4,0.835,2.5,4.6,7,3.8,1.2,0.6,2.9,1.8,28.1
15,Sean Elliott,SF,23,SAS,82,82,38,6.3,12.7,0.494,0.3,1,0.305,6,11.7,0.51,0.506,3.5,4,0.861,1.7,3.6,5.4,2.6,1,0.4,1.9,1.8,16.3
16,Pervis Ellison,C,24,WSB,66,64,38,8.3,15.4,0.539,0,0,0.333,8.3,15.3,0.54,0.54,3.4,4.7,0.728,3.3,7.9,11.2,2.9,0.9,2.7,3,3.4,20
17,Jeff Hornacek,SG,28,PHO,81,81,38,7.8,15.3,0.512,1,2.3,0.439,6.8,13,0.525,0.546,3.4,3.9,0.886,1.3,3.7,5,5.1,2,0.4,2.1,2.7,20.1
18,Reggie Miller*,SG,26,IND,82,82,38,6.9,13.7,0.501,1.6,4.2,0.378,5.3,9.5,0.555,0.559,5.4,6.3,0.858,1,2.9,3.9,3.8,1.3,0.3,1.9,2.6,20.7
19,Karl Malone*,PF,28,UTA,81,81,37.7,9.9,18.7,0.526,0,0.2,0.176,9.8,18.5,0.53,0.527,8.3,10.7,0.778,2.8,8.4,11.2,3,1.3,0.6,3.1,2.8,28
