Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson*,SG,32,DEN,82,82,41.8,8.7,19,0.458,1.2,3.4,0.345,7.5,15.6,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3,7.1,2,0.1,3,1.3,26.4
2,Joe Johnson,SG,26,ATL,82,82,40.8,7.9,18.3,0.432,2.1,5.4,0.381,5.8,12.8,0.454,0.489,3.9,4.6,0.834,1,3.5,4.5,5.8,1,0.2,2.7,2,21.7
3,LeBron James,SF,23,CLE,75,74,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30
4,Caron Butler,SF,27,WAS,58,58,39.9,7.6,16.3,0.466,1.1,3.2,0.357,6.4,13.1,0.492,0.501,4.1,4.5,0.901,1.6,5.1,6.7,4.9,2.2,0.3,2.6,2.8,20.3
5,Jamal Crawford,SG,27,NYK,80,80,39.9,7.1,17.4,0.41,2.2,6.2,0.356,4.9,11.2,0.439,0.473,4.1,4.8,0.864,0.5,2.1,2.6,5,1,0.2,2.4,1.8,20.6
6,Andre Iguodala,SF,24,PHI,82,82,39.5,7.1,15.6,0.456,1.2,3.7,0.329,5.9,11.8,0.496,0.495,4.5,6.2,0.721,1,4.4,5.4,4.8,2.1,0.6,2.6,2.3,19.9
7,Stephen Jackson,SF,29,GSW,73,73,39.1,6.7,16.5,0.405,2.5,6.9,0.363,4.2,9.6,0.435,0.481,4.2,5.1,0.832,0.9,3.4,4.4,4.1,1.3,0.4,2.7,2.3,20.1
8,Baron Davis,PG,28,GSW,82,82,39,7.9,18.6,0.426,2.1,6.4,0.33,5.8,12.2,0.477,0.483,3.9,5.2,0.75,1.2,3.5,4.7,7.6,2.3,0.5,2.8,3,21.8
9,Richard Jefferson,SF,27,NJN,82,82,39,7.5,16.2,0.466,0.9,2.6,0.362,6.6,13.6,0.486,0.495,6.6,8.3,0.798,1.1,3,4.2,3.1,0.9,0.3,2.4,2.7,22.6
10,Kobe Bryant*,SG,29,LAL,82,82,38.9,9.5,20.6,0.459,1.8,5.1,0.361,7.6,15.5,0.49,0.503,7.6,9,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3
11,Vince Carter,SG,31,NJN,76,72,38.9,7.7,16.9,0.456,1.3,3.6,0.359,6.4,13.3,0.482,0.494,4.6,5.6,0.816,1.5,4.5,6,5.1,1.2,0.4,2.4,3.2,21.3
12,Antawn Jamison,PF,31,WAS,79,79,38.7,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4
13,Jason Richardson,SF,27,CHA,82,82,38.4,7.9,17.9,0.441,3,7.3,0.406,4.9,10.6,0.466,0.524,3,4,0.752,1,4.4,5.4,3.1,1.4,0.7,2,2.9,21.8
14,Gerald Wallace,PF,25,CHA,62,59,38.3,6.6,14.6,0.449,1.1,3.6,0.321,5.4,11.1,0.491,0.488,5,6.9,0.731,0.9,5.1,6,3.5,2.1,0.9,2.9,3,19.4
15,Metta World Peace,SF,28,SAC,57,54,38.1,7.6,16.9,0.453,1.5,3.9,0.38,6.2,13,0.475,0.497,3.7,5.2,0.719,1.8,4,5.8,3.5,2.3,0.7,2.6,2.8,20.5
16,Rashard Lewis,PF,28,ORL,81,81,38,6.4,14,0.455,2.8,6.8,0.409,3.6,7.2,0.498,0.554,2.7,3.2,0.838,1.2,4.2,5.4,2.4,1.2,0.5,1.7,2.6,18.2
17,Monta Ellis,SG,22,GSW,81,72,37.9,8,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4,5.1,0.767,1.6,3.3,5,3.9,1.5,0.3,2.1,2.4,20.2
18,Lamar Odom,PF,28,LAL,77,77,37.9,5.4,10.3,0.525,0.4,1.5,0.274,5,8.9,0.566,0.544,3,4.3,0.698,2.6,8.1,10.6,3.5,1,0.9,2,2.9,14.2
19,David West,PF,27,NOH,76,76,37.8,8.3,17.2,0.482,0.1,0.3,0.24,8.2,16.8,0.487,0.484,3.9,4.6,0.85,2.4,6.5,8.9,2.3,0.8,1.3,2.2,2.7,20.6
