Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Pete Maravich*,SG,29,NOJ,73,,41.7,12.1,28,0.433,,,,12.1,28,0.433,0.433,6.9,8.2,0.835,1.2,3.9,5.1,5.4,1.2,0.3,,2.6,31.1
2,Elvin Hayes*,PF,31,WSB,82,,41,9.3,18.5,0.501,,,,9.3,18.5,0.501,0.501,5.1,7.5,0.687,3.5,9,12.5,1.9,1.1,2.7,,3.8,23.7
3,Jo Jo White*,PG,30,BOS,82,,40.6,7.8,18.1,0.429,,,,7.8,18.1,0.429,0.429,4.1,4.7,0.869,1.1,3.6,4.7,6,1.4,0.3,,2.4,19.6
4,Billy Knight,SF,24,IND,78,,40,10.7,21.6,0.493,,,,10.7,21.6,0.493,0.493,5.3,6.5,0.816,2.9,4.6,7.5,3.3,1.5,0.2,,2.5,26.6
5,Bob McAdoo*,C,25,TOT,72,,38.9,10.3,20.1,0.512,,,,10.3,20.1,0.512,0.512,5.3,7.2,0.738,2.8,10.1,12.9,2.8,1.1,1.4,,3.6,25.8
6,Rudy Tomjanovich*,PF,28,HOU,81,,38.6,9,17.7,0.51,,,,9,17.7,0.51,0.51,3.5,4.2,0.839,2.1,6.3,8.4,2.1,0.7,0.3,,2.4,21.6
7,Bob Lanier*,C,28,DET,64,,38.2,10.6,19.8,0.534,,,,10.6,19.8,0.534,0.534,4.1,5,0.818,3.1,8.5,11.6,3.3,1.1,2,,2.7,25.3
8,Norm Van Lier,PG,29,CHI,82,,37.8,3.7,8.9,0.412,,,,3.7,8.9,0.412,0.412,2.9,3.7,0.778,1.3,3.2,4.5,7.8,1.6,0.2,,3.3,10.2
9,Randy Smith,SG,28,BUF,82,,37.7,8.6,18.3,0.467,,,,8.6,18.3,0.467,0.467,3.6,4.7,0.762,1.6,3.9,5.6,5.4,2.1,0.1,,3.2,20.7
10,Larry Kenon,PF,24,SAS,78,,37.6,9.1,18.4,0.492,,,,9.1,18.4,0.492,0.492,3.8,4.6,0.823,3.6,7.7,11.3,2.9,2.1,0.8,,2.4,21.9
11,John Havlicek*,SF,36,BOS,79,,36.9,7.3,16.2,0.452,,,,7.3,16.2,0.452,0.452,3,3.6,0.816,1.4,3.5,4.8,5.1,1.1,0.2,,2.6,17.7
12,Kareem Abdul-Jabbar*,C,29,LAL,82,,36.8,10.8,18.7,0.579,,,,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10,13.3,3.9,1.2,3.2,,3.2,26.2
13,Rick Barry*,SF,32,GSW,79,,36.8,8.6,19.6,0.44,,,,8.6,19.6,0.44,0.44,4.5,5,0.916,0.9,4.4,5.3,6,2.2,0.7,,2.5,21.8
14,Ron Boone,SG,30,KCK,82,,36.8,9.1,19.2,0.474,,,,9.1,19.2,0.474,0.474,4,4.7,0.844,1.6,2.4,3.9,4.1,1.5,0.2,,3.1,22.2
15,Adrian Dantley*,SF,21,BUF,77,,36.6,7.1,13.6,0.52,,,,7.1,13.6,0.52,0.52,6.2,7.6,0.818,3.3,4.4,7.6,1.9,1.2,0.2,,2.8,20.3
16,David Thompson*,SG,22,DEN,82,,36.6,10,19.8,0.507,,,,10,19.8,0.507,0.507,5.8,7.6,0.766,1.7,2.4,4.1,4.1,1.4,0.6,,2.9,25.9
17,Don Buse,PG,26,IND,81,,36.4,3.3,7.9,0.416,,,,3.3,7.9,0.416,0.416,1.4,1.8,0.786,0.8,2.5,3.3,8.5,3.5,0.2,,1.6,8
18,Phil Chenier,SG,26,WSB,78,,36.4,8.4,18.9,0.444,,,,8.4,18.9,0.444,0.444,3.5,4.1,0.841,0.7,3.1,3.8,3.8,1.5,0.5,,2.1,20.2
19,John Drew,SF,22,ATL,74,,36.3,9.3,19.1,0.487,,,,9.3,19.1,0.487,0.487,5.6,7.8,0.714,3.8,5.3,9.1,1.8,1.4,0.4,,3.7,24.2
