Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Michael Jordan*,SG,24,CHI,82,82,40.4,13,24.4,0.535,0.1,0.6,0.132,13,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35
2,Charles Barkley*,PF,24,PHI,80,80,39.6,9.4,16,0.587,0.6,2,0.28,8.9,14.1,0.63,0.604,8.9,11.9,0.751,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3
3,Mark Jackson,PG,22,NYK,82,80,39.6,5.3,12.4,0.432,0.4,1.5,0.254,5,10.8,0.458,0.448,2.5,3.2,0.774,1.5,3.4,4.8,10.6,2.5,0.1,3.1,3,13.6
4,Larry Bird*,SF,31,BOS,76,75,39,11.6,22,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9
5,Karl Malone*,PF,24,UTA,82,82,39,10.5,20.1,0.52,0,0.1,0,10.5,20.1,0.522,0.52,6.7,9.6,0.7,3.4,8.6,12,2.4,1.4,0.6,4,3.6,27.7
6,Clyde Drexler*,SG,25,POR,81,80,37.8,10.5,20.7,0.506,0.1,0.6,0.212,10.3,20.1,0.515,0.509,5.9,7.2,0.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27
7,Dominique Wilkins*,SF,28,ATL,78,76,37.8,11.7,25.1,0.464,0.5,1.7,0.295,11.2,23.4,0.476,0.474,6.9,8.4,0.826,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7
8,Buck Williams,PF,27,NJN,70,70,37.7,6.7,11.9,0.56,0,0,1,6.6,11.9,0.56,0.561,4.9,7.4,0.668,4.3,7.7,11.9,1.6,1,0.6,2.7,3.8,18.3
9,Byron Scott,SG,26,LAL,81,81,37.6,8.8,16.6,0.527,0.8,2.2,0.346,8,14.4,0.554,0.55,3.4,3.9,0.858,0.9,3.2,4.1,4.1,1.9,0.3,2,2.5,21.7
10,Otis Thorpe,PF,25,SAC,82,82,37.5,7.6,15,0.507,0,0.1,0,7.6,14.9,0.51,0.507,5.6,7.4,0.755,3.4,6.8,10.2,3.2,0.8,0.7,2.8,3.2,20.8
11,Brad Daugherty,C,22,CLE,79,78,37.4,7,13.7,0.51,0,0,0,7,13.7,0.511,0.51,4.8,6.7,0.716,1.9,6.5,8.4,4.2,0.6,0.7,3.4,3,18.7
12,Danny Ainge,SG,28,BOS,81,81,37.3,6,12.1,0.491,1.8,4.4,0.415,4.1,7.7,0.534,0.566,2,2.2,0.878,0.7,2.3,3.1,6.2,1.4,0.2,1.9,2.5,15.7
13,Fat Lever,SG,27,DEN,82,82,37.3,7.8,16.6,0.473,0.1,0.7,0.211,7.7,15.9,0.484,0.477,3,3.9,0.785,2.5,5.6,8.1,7.8,2.7,0.3,2.2,2.6,18.9
14,Kevin McHale*,PF,30,BOS,64,63,37.3,8.6,14.2,0.604,0,0,,8.6,14.2,0.604,0.604,5.4,6.8,0.797,2.5,5.9,8.4,2.7,0.4,1.4,2.2,2.8,22.6
15,Dale Ellis,SG,27,SEA,75,73,37.2,10.2,20.3,0.503,1.4,3.5,0.413,8.8,16.8,0.521,0.538,4,5.3,0.767,2.2,2.3,4.5,2.6,1,0.1,2.3,2.9,25.8
16,Derek Harper,PG,26,DAL,82,82,37,6.5,14.2,0.459,0.7,2.3,0.313,5.8,11.9,0.488,0.485,3.2,4.2,0.759,0.9,2.1,3,7.7,2,0.4,2.3,2,17
17,Michael Cage,PF,26,LAC,72,70,36.9,5,10.6,0.47,0,0,0,5,10.6,0.471,0.47,4.5,6.6,0.688,5.2,7.9,13,1.5,1.3,0.8,2.2,2.7,14.5
18,Mike Gminski,C,28,TOT,81,81,36.6,6.2,13.9,0.448,0,0,0,6.2,13.9,0.449,0.448,4.4,4.8,0.906,3,7,10,1.7,0.8,1.5,2.2,2.2,16.9
19,Magic Johnson*,PG,28,LAL,72,70,36.6,6.8,13.8,0.492,0.2,0.8,0.196,6.7,13.1,0.51,0.497,5.8,6.8,0.853,1.2,5,6.2,11.9,1.6,0.2,3.7,2,19.6
20,Jerome Kersey,SF,25,POR,79,75,36.6,7.7,15.5,0.499,0,0.2,0.2,7.7,15.3,0.502,0.5,3.7,5,0.735,2.7,5.6,8.3,3.1,1.6,0.8,2,3.8,19.2
21,Terry Porter,PG,24,POR,82,82,36.5,5.6,10.9,0.519,0.3,0.8,0.348,5.3,10,0.533,0.533,3.3,4,0.846,0.8,3.8,4.6,10.1,1.8,0.2,3,2.5,14.9
22,Rolando Blackman,SG,28,DAL,71,69,36.3,7,14.8,0.473,0,0.1,0,7,14.7,0.476,0.473,4.7,5.3,0.873,1.2,2.3,3.5,3.7,0.9,0.3,2,1.6,18.7
23,Maurice Cheeks*,PG,31,PHI,79,79,36.3,5.4,10.9,0.495,0,0.3,0.136,5.4,10.7,0.504,0.497,2.9,3.5,0.825,0.7,2.5,3.2,8,2.1,0.3,2,1.5,13.7
24,Alvin Robertson,SG,25,SAS,82,82,36.3,8,17.2,0.465,0.3,1.2,0.284,7.7,16,0.478,0.475,3.3,4.5,0.748,2,4.1,6.1,6.8,3,0.8,3.1,3.7,19.6
25,Reggie Theus,SG,30,SAC,73,73,36.3,8.5,18.1,0.47,0.2,0.8,0.271,8.3,17.2,0.479,0.476,4.4,5.3,0.831,1,2.2,3.2,6.3,0.8,0.2,3.2,2.4,21.6
26,Isiah Thomas*,PG,26,DET,81,81,36.1,7.7,16.6,0.463,0.4,1.2,0.309,7.3,15.4,0.475,0.474,3.8,4.9,0.774,0.8,2.6,3.4,8.4,1.7,0.2,3.4,2.7,19.5
27,Hakeem Olajuwon*,C,25,HOU,79,79,35.8,9,17.5,0.514,0,0.1,0,9,17.5,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8
28,Larry Nance,PF,28,TOT,67,60,35.6,7.3,13.7,0.529,0,0.1,0.333,7.2,13.6,0.531,0.53,4.5,5.8,0.779,2.9,6.2,9.1,3.1,0.9,2.4,2.3,3.6,19.1
29,Jack Sikma*,C,32,MIL,82,82,35.6,6.3,12.9,0.486,0,0.2,0.214,6.2,12.7,0.489,0.487,3.9,4.2,0.922,2.4,6.3,8.6,3.4,1.1,1,1.9,3.9,16.5
30,Kenny Smith,PG,22,SAC,61,60,35.6,5.4,11.4,0.477,0.2,0.6,0.308,5.2,10.7,0.487,0.486,2.7,3.3,0.819,0.7,1.6,2.3,7.1,1.5,0.1,3,2.3,13.8
31,Chuck Person,SF,23,IND,79,71,35.5,7.3,15.8,0.459,0.7,2.2,0.333,6.5,13.6,0.48,0.483,1.7,2.5,0.67,2.2,4.6,6.8,3.9,0.9,0.1,2.7,3.4,17
32,James Worthy*,SF,26,LAL,75,72,35.4,8.2,15.5,0.531,0,0.2,0.125,8.2,15.3,0.537,0.532,3.2,4.1,0.796,1.7,3.3,5,3.9,1,0.7,2.1,2.3,19.7
33,Bill Laimbeer,C,30,DET,82,82,35.3,5.5,11.3,0.493,0.2,0.5,0.333,5.4,10.8,0.5,0.5,2.3,2.6,0.874,2,8.1,10.1,2.4,0.8,1,1.7,3.5,13.5
34,Alex English*,SF,34,DEN,80,80,35.2,10.5,21.3,0.495,0,0.1,0,10.5,21.2,0.496,0.495,3.9,4.7,0.828,2.1,2.6,4.7,4.7,0.9,0.3,2.3,2.4,25
35,Dennis Johnson*,PG,33,BOS,77,74,34.7,4.6,10.4,0.438,0.2,0.6,0.261,4.4,9.8,0.449,0.446,3.3,3.9,0.856,0.8,2.3,3.1,7.8,1.2,0.4,2.5,2.6,12.6
36,Xavier McDaniel,SF,24,SEA,78,77,34.7,8.8,18,0.488,0.2,0.6,0.28,8.6,17.4,0.496,0.493,3.6,5,0.715,2.6,4,6.6,3.4,1.2,0.7,2.9,2.9,21.4
37,John Stockton*,PG,25,UTA,82,79,34.7,5.5,9.6,0.574,0.3,0.8,0.358,5.2,8.8,0.594,0.589,3.3,4,0.84,0.7,2.2,2.9,13.8,3,0.2,3.2,3,14.7
38,Terry Cummings,PF,26,MIL,76,76,34.6,8.9,18.3,0.485,0,0,0.333,8.9,18.3,0.485,0.485,3.6,5.3,0.665,2.4,4.9,7.3,2.4,1,0.6,2.2,3.6,21.3
39,Charles Oakley,PF,24,CHI,82,82,34.3,4.6,9.5,0.483,0,0.1,0.25,4.5,9.3,0.487,0.485,3.2,4.4,0.727,4,9,13,3,0.8,0.3,2.9,3.3,12.4
40,Thurl Bailey,SF,26,UTA,82,10,34.2,7.7,15.7,0.492,0,0,0.333,7.7,15.6,0.493,0.493,4.1,5,0.826,1.6,4.8,6.5,1.9,0.6,1.5,2.3,2.3,19.6
41,Vern Fleming,PG,25,IND,80,80,34.2,5.5,10.6,0.523,0,0.2,0,5.5,10.4,0.531,0.523,2.8,3.5,0.802,1.3,3.2,4.6,7.1,1.4,0.1,2.2,2.8,13.9
42,Moses Malone*,C,32,WSB,79,78,34.1,6.7,13.8,0.487,0,0.1,0.286,6.7,13.7,0.488,0.488,6.9,8.7,0.788,4.7,6.5,11.2,1.4,0.7,0.9,3.2,2,20.3
43,Cliff Robinson,SF,27,PHI,62,51,34,7.8,16.8,0.464,0,0.1,0.222,7.8,16.6,0.466,0.465,3.4,4.7,0.717,1.9,4.7,6.5,2.1,1.3,0.6,2.6,3.1,19
44,Michael Adams,PG,25,DEN,82,75,33.9,5.1,11.3,0.449,1.7,4.6,0.367,3.4,6.7,0.505,0.524,2,2.4,0.834,0.5,2.2,2.7,6.1,2,0.2,1.8,1.7,13.9
45,Mark Aguirre,SF,28,DAL,77,77,33.9,9.7,20.4,0.475,0.7,2.2,0.302,9,18.2,0.496,0.491,5,6.5,0.77,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1
46,Chris Mullin*,SF,24,GSW,60,55,33.9,7.8,15.4,0.508,0.6,1.6,0.351,7.3,13.8,0.526,0.526,4,4.5,0.885,1,2.5,3.4,4.8,1.9,0.5,2.6,2.3,20.2
47,John Bagley,PG,27,NJN,82,74,33.8,4.8,10.9,0.439,0.6,2,0.292,4.2,9,0.471,0.465,1.8,2.2,0.822,0.7,2.4,3.1,5.8,1.3,0.1,2.5,2,12
48,Roy Hinson,SF,26,TOT,77,57,33.7,5.9,12.1,0.487,0,0,0,5.9,12.1,0.488,0.487,3.5,4.6,0.775,2.1,4.6,6.7,1.3,0.9,1.8,2.2,3.6,15.3
49,Steve Stipanovich,C,27,IND,80,80,33.7,5.1,10.4,0.496,0,0.2,0.2,5.1,10.2,0.502,0.498,3.2,3.9,0.809,2,6.3,8.3,2.3,1.1,0.9,2,3.8,13.5
50,Johnny Dawkins,PG,24,SAS,65,61,33.5,6.2,12.8,0.485,0.3,0.9,0.311,5.9,11.9,0.499,0.496,3,3.4,0.896,1,2.1,3.1,7.4,1.4,0,2.4,1.5,15.8
51,Gerald Wilkins,SG,24,NYK,81,78,33.4,7.3,16.3,0.446,0.5,1.6,0.302,6.8,14.8,0.462,0.461,2.4,3,0.786,1.3,2,3.3,4,1.1,0.3,2.6,2.3,17.4
52,Joe Dumars*,SG,24,DET,82,82,33.3,5.5,11.7,0.472,0,0.2,0.211,5.5,11.5,0.477,0.474,3.1,3.8,0.815,0.8,1.7,2.4,4.7,1.1,0.2,2.1,1.9,14.2
