Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
255,Andre Wakefield,SG,24,TOT,73,,8,0.8,2.4,0.35,,,,0.8,2.4,0.35,0.35,0.7,0.9,0.696,0.3,0.7,1,1,0.3,0,1,1,2.4
255,Andre Wakefield,SG,24,CHI,2,,4,0,0.5,0,,,,0,0.5,0,0,0,0,,0,0,0,0.5,0,0,1,1,0
255,Andre Wakefield,SG,24,DET,71,,8.1,0.9,2.5,0.352,,,,0.9,2.5,0.352,0.352,0.7,1,0.696,0.4,0.7,1.1,1,0.3,0,1,1,2.4
256,Foots Walker,PG,27,CLE,55,,31.9,3.8,8.1,0.464,,,,3.8,8.1,0.464,0.464,2.5,3.2,0.783,1.1,2.5,3.6,5.8,2.4,0.3,2.3,2.8,10.1
257,Wally Walker,SF,24,SEA,60,,16.2,2.8,5.7,0.49,,,,2.8,5.7,0.49,0.49,1,1.6,0.604,1.1,1.9,3,1.2,0.2,0.4,1.1,2.1,6.6
258,Lloyd Walton,PG,25,MIL,75,,18.4,2.1,4.4,0.48,,,,2.1,4.4,0.48,0.48,0.8,1.2,0.678,0.5,0.9,1.4,4.7,1,0.1,1.6,1.4,5
259,Kermit Washington,PF,27,SDC,82,,33.7,4.3,7.6,0.562,,,,4.3,7.6,0.562,0.562,2.8,4,0.688,3.6,6.1,9.8,1.5,1,1.5,2.3,3.9,11.3
260,Richard Washington,PF,23,KCK,18,,8.9,0.8,2.3,0.341,,,,0.8,2.3,0.341,0.341,0.6,0.9,0.625,0.6,2.1,2.7,0.4,0.4,0.2,0.8,1.7,2.1
261,Wilson Washington,PF,23,NJN,62,,18.4,3.5,7,0.502,,,,3.5,7,0.502,0.502,1.1,1.7,0.635,1.4,3.3,4.7,0.8,0.5,1.1,1.6,3,8.1
262,Slick Watts,PG,27,HOU,61,,17.1,1.5,3.7,0.405,,,,1.5,3.7,0.405,0.405,0.7,1.1,0.612,0.6,1.1,1.7,4,1.2,0.2,1.2,2.3,3.7
263,Nick Weatherspoon,SF,28,SDC,82,,32.2,5.8,12.2,0.48,,,,5.8,12.2,0.48,0.48,2.1,2.9,0.739,2.2,3.4,5.5,1.6,1,0.5,2.2,3.5,13.8
264,Marvin Webster,C,26,NYK,60,,33.8,4.4,9.3,0.473,,,,4.4,9.3,0.473,0.473,2.5,4.4,0.573,3.3,7.6,10.9,2.9,0.4,1.9,2.8,3.1,11.3
265,Scott Wedman,SF,26,KCK,73,,34.2,7.7,14.4,0.534,,,,7.7,14.4,0.534,0.534,3,3.7,0.797,1.8,3.4,5.3,2,1,0.4,1.5,3.3,18.3
266,Paul Westphal*,SG,28,PHO,81,,32.6,9.9,18.5,0.535,,,,9.9,18.5,0.535,0.535,4.2,5,0.837,0.4,1.5,2,6.5,1.4,0.3,2.9,2,24
267,Jo Jo White*,PG,32,TOT,76,,30.8,5.3,12,0.444,,,,5.3,12,0.444,0.444,1.8,2.1,0.88,0.6,2.1,2.6,4.6,1.1,0.1,2.8,2.3,12.5
267,Jo Jo White*,PG,32,BOS,47,,31,5.4,12.7,0.428,,,,5.4,12.7,0.428,0.428,1.7,1.9,0.888,0.5,2.3,2.7,4.6,1.1,0.1,3,2.1,12.5
267,Jo Jo White*,PG,32,GSW,29,,30.4,5.1,10.8,0.475,,,,5.1,10.8,0.475,0.475,2.1,2.4,0.87,0.7,1.8,2.5,4.6,0.9,0.1,2.4,2.5,12.3
268,Jerome Whitehead,C,22,SDC,31,,4.9,0.5,1.1,0.441,,,,0.5,1.1,0.441,0.441,0.3,0.6,0.444,0.5,1.1,1.6,0.2,0.1,0.1,0.4,0.9,1.2
269,Sidney Wicks,PF,29,SDC,79,,25.6,3.9,8.6,0.462,,,,3.9,8.6,0.462,0.462,1.9,2.9,0.65,2,3.1,5.1,1.6,0.9,0.5,2.3,3.5,9.8
270,Bob Wilkerson,SF,24,DEN,80,,30.3,5,10.9,0.456,,,,5,10.9,0.456,0.456,1.5,2.2,0.688,1.3,3.9,5.2,3.6,1.5,0.3,2.5,2.4,11.4
271,Jamaal Wilkes*,SF,25,LAL,82,,35.5,7.6,15.1,0.504,,,,7.6,15.1,0.504,0.504,3.3,4.4,0.751,2,5.4,7.4,2.8,1.6,0.3,2.7,3.4,18.6
272,Earl Williams,C,27,BOS,20,,13.7,2.7,6.2,0.439,,,,2.7,6.2,0.439,0.439,0.7,1.2,0.583,2.1,3.2,5.3,0.6,0.6,0.5,1,2.1,6.1
273,Freeman Williams,SG,22,SDC,72,,16.6,4.7,9.5,0.49,,,,4.7,9.5,0.49,0.49,1.1,1.4,0.776,0.7,0.7,1.4,1.2,0.6,0,1.4,1.2,10.4
274,Gus Williams,PG,25,SEA,76,,29.8,8,16.1,0.495,,,,8,16.1,0.495,0.495,3.2,4.2,0.775,1.5,1.8,3.2,4,2.1,0.4,2.5,2.1,19.2
275,Nate Williams,SG,28,GSW,81,,16,3.5,7,0.501,,,,3.5,7,0.501,0.501,1.3,1.4,0.872,0.8,1.7,2.6,0.8,0.7,0.1,1.1,2.1,8.3
276,Ray Williams,PG,24,NYK,81,,29.3,7.1,15.5,0.457,,,,7.1,15.5,0.457,0.457,3.1,3.9,0.802,1.3,2.3,3.6,6.2,1.6,0.2,3.5,3.4,17.3
277,John Williamson,SG,27,NJN,74,,33.1,8.6,18.5,0.465,,,,8.6,18.5,0.465,0.465,5,5.9,0.854,0.7,1.9,2.6,3.4,1.2,0.2,3.1,2.9,22.2
278,Rick Wilson,SG,22,ATL,61,,9.7,1.3,3.2,0.411,,,,1.3,3.2,0.411,0.411,0.4,0.7,0.545,0.3,0.9,1.2,1.2,0.5,0.1,0.7,1.1,3
279,Brian Winters,SG,26,MIL,79,,32.6,8.4,17,0.493,,,,8.4,17,0.493,0.493,3,3.5,0.856,0.6,1.6,2.2,4.8,1.1,0.5,3.3,3.1,19.8
280,Larry Wright,PG,24,WSB,73,,22.7,3.8,8.1,0.469,,,,3.8,8.1,0.469,0.469,1.7,2.3,0.744,0.7,1.3,1.9,4.1,0.9,0.2,1.6,2.3,9.3
