Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
179,Mike Mitchell,SF,23,CLE,80,,19.7,4.5,8.8,0.513,,,,4.5,8.8,0.513,0.513,1.6,2.2,0.736,1.6,2.5,4.1,0.8,0.6,0.4,1.3,2.7,10.7
180,Steve Mix,SF,31,PHI,74,1,17.1,3.6,6.7,0.538,,,,3.6,6.7,0.538,0.538,2.2,2.7,0.801,1.5,2.5,4,1.6,0.8,0.2,1.4,1.5,9.3
181,Eric Money,PG,23,TOT,70,,28.3,6.3,12.8,0.497,,,,6.3,12.8,0.497,0.497,2.4,3.4,0.717,1,1.3,2.3,4.7,1.2,0.2,3.4,2.9,15.1
181,Eric Money,PG,23,NJN,47,,30.5,6.9,14.4,0.481,,,,6.9,14.4,0.481,0.481,2.9,3.9,0.743,1.2,1.5,2.7,5.3,1.6,0.2,3.5,2.8,16.7
181,Eric Money,PG,23,PHI,23,,23.7,5.2,9.4,0.548,,,,5.2,9.4,0.548,0.548,1.5,2.3,0.63,0.7,1,1.6,3.6,0.6,0.1,3,3,11.8
182,Earl Monroe*,SG,34,NYK,64,,21.8,5.1,10.9,0.471,,,,5.1,10.9,0.471,0.471,2,2.4,0.838,0.4,0.8,1.2,3,0.8,0.1,1.5,1.9,12.3
183,Glenn Mosley,PF,23,SAS,26,,8.5,1.2,2.9,0.413,,,,1.2,2.9,0.413,0.413,0.9,1.5,0.605,1,1.4,2.5,0.7,0.3,0.4,0.8,1.3,3.3
184,Calvin Murphy*,PG,30,HOU,82,,35.9,8.6,17.4,0.496,,,,8.6,17.4,0.496,0.496,3,3.2,0.928,1,1.2,2.1,4.3,1.4,0.1,2.3,3.5,20.2
185,Bob Nash,SF,28,KCK,82,,15.9,2.8,6.4,0.435,,,,2.8,6.4,0.435,0.435,0.8,1,0.802,0.9,1.6,2.5,0.9,0.4,0.2,1,1.6,6.4
186,Swen Nater,C,29,SDC,79,,25.4,4.5,7.9,0.569,,,,4.5,7.9,0.569,0.569,1.7,2.1,0.8,2.8,6.1,8.9,1.8,0.5,0.4,2.2,3.1,10.7
187,Lloyd Neal,PF,28,POR,4,,12,1,2.8,0.364,,,,1,2.8,0.364,0.364,0.3,0.3,1,0.5,1.8,2.3,0.3,0,0.3,1.5,1.8,2.3
188,Mike Newlin,SG,30,HOU,76,,24.1,3.7,7.6,0.487,,,,3.7,7.6,0.487,0.487,2.8,3.2,0.872,0.7,1.6,2.2,3.8,0.7,0.1,2.3,2.9,10.2
189,Norm Nixon,PG,23,LAL,82,,38.4,7.6,14,0.542,,,,7.6,14,0.542,0.542,1.9,2.5,0.775,0.6,2.2,2.8,9,2.5,0.2,2.8,3,17.1
190,Connie Norman,SG,25,SDC,22,,14.7,3.2,7.5,0.43,,,,3.2,7.5,0.43,0.43,0.9,1,0.826,0.6,0.9,1.5,1.1,0.5,0.1,1,1.6,7.3
