Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Monta Ellis,SG,24,GSW,64,64,41.4,9.9,22,0.449,1.2,3.6,0.338,8.7,18.4,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4,5.3,2.2,0.4,3.8,3,25.5
2,Gerald Wallace,SF,27,CHA,76,76,41,6,12.4,0.484,0.7,1.8,0.371,5.3,10.6,0.503,0.511,5.6,7.2,0.776,2,8.1,10,2.1,1.5,1.1,2.3,2.6,18.2
3,Rudy Gay,SF,23,MEM,80,80,39.7,7.5,16.1,0.466,0.8,2.5,0.327,6.7,13.6,0.492,0.491,3.8,5,0.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6
4,Kevin Durant,SF,21,OKC,82,82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1,3.3,2.1,30.1
5,LeBron James,SF,25,CLE,76,76,39,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1,3.4,1.6,29.7
6,Andre Iguodala,SF,26,PHI,82,82,38.9,6,13.7,0.443,1.1,3.7,0.31,4.9,10,0.492,0.485,3.8,5.2,0.733,1,5.5,6.5,5.8,1.7,0.7,2.7,1.8,17.1
7,Kobe Bryant*,SG,31,LAL,73,73,38.8,9.8,21.5,0.456,1.4,4.1,0.329,8.5,17.4,0.487,0.488,6,7.4,0.811,1.1,4.3,5.4,5,1.5,0.3,3.2,2.6,27
8,Stephen Jackson,SG-PF,31,TOT,81,81,38.6,7.4,17.5,0.423,1.6,4.9,0.328,5.8,12.7,0.46,0.469,4.2,5.4,0.779,1,4,5,3.7,1.6,0.5,3.2,2.4,20.6
9,Carmelo Anthony,SF,25,DEN,69,69,38.2,10,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3,3.3,28.2
10,Joe Johnson,SG,28,ATL,76,76,38,8.4,18.2,0.458,1.7,4.6,0.369,6.7,13.6,0.488,0.505,2.9,3.5,0.818,1,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3
11,O.J. Mayo,SG,22,MEM,82,82,38,6.6,14.4,0.458,1.7,4.3,0.383,5,10.1,0.49,0.516,2.6,3.2,0.809,0.7,3,3.8,3,1.2,0.2,2.1,2.1,17.5
12,Luol Deng,SF,24,CHI,70,69,37.9,6.8,14.5,0.466,0.5,1.2,0.386,6.3,13.3,0.474,0.482,3.6,4.7,0.764,1.9,5.4,7.3,2,0.9,0.9,1.9,1.8,17.6
13,Zach Randolph,PF,28,MEM,81,81,37.7,8,16.5,0.488,0.2,0.6,0.288,7.9,15.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1,0.4,2.1,2.8,20.8
14,Caron Butler,SF-SG,29,TOT,74,74,37.6,6.1,14.2,0.428,0.6,2,0.29,5.5,12.2,0.45,0.448,3.6,4.3,0.838,1.4,4.8,6.2,2.1,1.6,0.3,2.2,2.6,16.3
15,LaMarcus Aldridge,PF,24,POR,78,78,37.5,7.4,15,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8,2.1,0.9,0.6,1.3,3,17.9
16,Dirk Nowitzki,PF,31,DAL,81,80,37.5,8.9,18.5,0.481,0.6,1.5,0.421,8.3,17,0.487,0.498,6.6,7.2,0.915,1,6.7,7.7,2.7,0.9,1,1.8,2.6,25
17,David Lee,C,26,NYK,81,81,37.3,8.5,15.5,0.545,0,0.1,0,8.5,15.4,0.549,0.545,3.3,4.1,0.812,2.8,8.9,11.7,3.6,1,0.5,2.3,3.2,20.2
18,Tyreke Evans,SG,20,SAC,72,72,37.2,7.4,16.2,0.458,0.5,2,0.255,6.9,14.2,0.485,0.473,4.8,6.5,0.748,0.9,4.4,5.3,5.8,1.5,0.4,3,2.8,20.1
19,Brandon Roy,SG,25,POR,65,65,37.2,7.6,16,0.473,1.1,3.4,0.33,6.4,12.6,0.512,0.508,5.3,6.8,0.78,1.1,3.3,4.4,4.7,0.9,0.2,2,2.1,21.5
20,Jeff Green,PF,23,OKC,82,82,37.1,5.9,13,0.453,1.3,3.8,0.333,4.6,9.2,0.503,0.502,2,2.7,0.74,1.4,4.6,6,1.6,1.3,0.9,1.6,2.7,15.1
21,Pau Gasol,C,29,LAL,65,65,37,7,13,0.536,0,0.1,0,7,12.9,0.539,0.536,4.4,5.6,0.79,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3
22,Brook Lopez,C,21,NJN,82,82,36.9,6.9,13.8,0.499,0,0,0,6.9,13.7,0.5,0.499,5.1,6.2,0.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8
23,Deron Williams,PG,25,UTA,76,76,36.9,6.5,13.9,0.469,1.3,3.4,0.371,5.2,10.4,0.501,0.515,4.4,5.5,0.801,0.7,3.3,4,10.5,1.3,0.2,3.3,2.7,18.7
24,Derrick Rose,PG,21,CHI,78,78,36.8,8.6,17.6,0.489,0.2,0.8,0.267,8.4,16.8,0.5,0.495,3.3,4.3,0.766,0.8,2.9,3.8,6,0.7,0.3,2.8,1.2,20.8
25,Danny Granger,SF,26,IND,62,62,36.7,7.9,18.4,0.428,2.5,7.1,0.361,5.3,11.3,0.471,0.498,5.9,6.9,0.848,1.1,4.4,5.5,2.8,1.5,0.8,2.5,3,24.1
26,Rajon Rondo,PG,23,BOS,81,81,36.6,5.7,11.2,0.508,0.2,1,0.213,5.5,10.2,0.536,0.517,2.2,3.5,0.621,1.2,3.2,4.4,9.8,2.3,0.1,3,2.4,13.7
27,Trevor Ariza,SF,24,HOU,72,71,36.5,5.5,13.9,0.394,1.9,5.7,0.334,3.6,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9
28,Antawn Jamison,PF,33,TOT,66,64,36.5,7.2,15.7,0.461,1.3,3.7,0.344,6,12,0.498,0.502,2.9,4.5,0.647,2.1,6.3,8.4,1.3,1.1,0.3,1.4,2.7,18.7
29,David West,PF,29,NOH,81,81,36.4,7.6,15.1,0.505,0.1,0.3,0.259,7.6,14.8,0.51,0.508,3.7,4.2,0.865,2,5.4,7.5,3,0.9,0.7,2.1,2.9,19
30,Dwyane Wade,SG,28,MIA,77,77,36.3,9.3,19.6,0.476,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6
31,Stephen Curry,PG,21,GSW,80,77,36.2,6.6,14.3,0.462,2.1,4.8,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3,3.2,17.5
32,Chris Bosh*,C,25,TOR,70,70,36.1,8.6,16.5,0.518,0.1,0.3,0.364,8.5,16.2,0.521,0.522,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1,2.4,2.4,24
33,Eric Gordon,SG,21,LAC,62,60,36,5.7,12.6,0.449,1.9,5.2,0.371,3.8,7.5,0.503,0.525,3.6,4.8,0.742,0.4,2.2,2.6,3,1.1,0.2,2.3,1.5,16.9
34,Jason Kidd*,PG,36,DAL,80,80,36,3.6,8.4,0.423,2.2,5.2,0.425,1.4,3.2,0.42,0.554,1,1.2,0.808,0.6,5,5.6,9.1,1.8,0.4,2.4,1.8,10.3
35,Marc Gasol,C,25,MEM,69,69,35.8,5.5,9.4,0.581,0,0,0,5.5,9.4,0.582,0.581,3.7,5.4,0.67,3,6.3,9.3,2.4,1,1.6,2,3.7,14.6
36,Wilson Chandler,SG,22,NYK,65,64,35.7,6.3,13.2,0.479,0.6,2.3,0.267,5.7,10.9,0.524,0.502,2,2.5,0.806,1.4,3.9,5.4,2.1,0.7,0.8,1.7,2.8,15.3
