Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Ruland,C,25,WSB,75,75,41.1,8,13.8,0.579,0,0.1,0.143,8,13.7,0.582,0.579,6.2,8.5,0.733,3.5,8.8,12.3,3.9,0.9,1,4.6,3.8,22.2
2,Sidney Moncrief*,SG,26,MIL,79,79,38.9,7.1,14.2,0.498,0.1,0.2,0.278,7,14,0.501,0.5,6.7,7.9,0.848,2.7,4,6.7,4.5,1.4,0.3,2.7,2.6,20.9
3,Larry Bird*,PF,27,BOS,79,77,38.3,9.6,19.5,0.492,0.2,0.9,0.247,9.4,18.6,0.504,0.497,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3,2.5,24.2
4,Magic Johnson*,PG,24,LAL,67,66,38.3,6.6,11.6,0.565,0.1,0.4,0.207,6.5,11.2,0.579,0.569,4.3,5.3,0.81,1.5,5.9,7.3,13.1,2.2,0.7,4.6,2.5,17.6
5,Adrian Dantley*,SF,28,UTA,79,79,37.8,10.2,18.2,0.558,0,0.1,0.25,10.1,18.2,0.559,0.558,10.3,12,0.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6
6,Rolando Blackman,SG,24,DAL,81,81,37.3,8.9,16.3,0.546,0,0.1,0.091,8.9,16.2,0.55,0.547,4.6,5.7,0.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,1.6,22.4
7,Purvis Short,SF,26,GSW,79,76,37.3,9,19.1,0.473,0.3,0.9,0.306,8.8,18.2,0.482,0.48,4.5,5.6,0.793,2.3,3.2,5.5,3.1,1.3,0.1,2.9,3.2,22.8
8,Norm Nixon,PG,28,SDC,82,82,37.2,7.2,15.5,0.462,0.1,0.6,0.239,7,14.9,0.471,0.467,2.5,3.3,0.76,0.7,1.8,2.5,11.1,1.1,0,3.1,2.2,17
9,Buck Williams,PF,23,NJN,81,81,37.1,6.1,11.4,0.535,0,0,0,6.1,11.4,0.537,0.535,3.5,6.1,0.57,4.4,8,12.3,1.6,1,1.5,2.9,3.7,15.7
10,Joe Barry Carroll,C,25,GSW,80,80,37,8.3,17.4,0.477,0,0,0,8.3,17.4,0.477,0.477,3.9,5.4,0.723,2.9,5,8,2.5,1.3,1.8,3.4,3.1,20.5
11,Moses Malone*,C,28,PHI,71,71,36.8,7.5,15.5,0.483,0,0.1,0,7.5,15.5,0.485,0.483,7.7,10.2,0.75,5,8.4,13.4,1.4,1,1.5,3.5,2.6,22.7
12,Mark Aguirre,SF,24,DAL,79,79,36.7,11.7,22.3,0.524,0.2,0.7,0.268,11.5,21.6,0.532,0.528,5.9,7.9,0.749,2,3.9,5.9,4.5,1,0.3,3.6,3.1,29.5
13,Marques Johnson,SF,27,MIL,74,74,36.7,8.7,17.4,0.502,0,0.2,0.154,8.7,17.2,0.505,0.502,3.3,4.6,0.709,2.3,4.1,6.5,4.3,1.6,0.6,2.4,2.6,20.7
14,Isiah Thomas*,PG,22,DET,82,82,36.7,8.2,17.7,0.462,0.3,0.8,0.338,7.9,16.9,0.468,0.47,4.7,6.5,0.733,1.3,2.7,4,11.1,2.5,0.4,3.7,4,21.3
15,Dominique Wilkins*,SF,24,ATL,81,81,36.6,8.4,17.6,0.479,0,0.1,0,8.4,17.5,0.482,0.479,4.7,6.1,0.77,3.1,4,7.2,1.6,1.4,1.1,2.7,2.4,21.6
16,Jack Sikma*,C,28,SEA,82,82,36.5,7,14.1,0.499,0,0,0,7,14.1,0.5,0.499,5,5.9,0.856,2.7,8.4,11.1,4,1.2,1.1,2.9,3.7,19.1
17,Mike Mitchell,SF,28,SAS,79,79,36.1,9.9,20.2,0.488,0.1,0.2,0.429,9.8,20,0.488,0.49,3.5,4.5,0.779,2.4,4.8,7.2,1.2,0.8,0.9,1.8,3.2,23.3
18,Terry Cummings,PF,22,SDC,81,80,35.9,9.1,18.4,0.494,0,0,0,9.1,18.4,0.495,0.494,4.7,6.5,0.72,4,5.6,9.6,1.7,1.1,0.7,2.7,3.7,22.9
19,Robert Parish*,C,30,BOS,80,79,35.8,7.8,14.3,0.546,0,0,,7.8,14.3,0.546,0.546,3.4,4.6,0.745,3,7.7,10.7,1.7,0.7,1.5,2.3,3.3,19
20,Dan Roundfield,PF,30,ATL,73,72,35.8,6.9,14.2,0.485,0,0.2,0,6.9,14.1,0.49,0.485,5.1,6.7,0.77,2.8,7.1,9.9,2.5,0.8,1,2.8,3,18.9
21,Eddie Johnson,SF,24,KCK,82,82,35.6,9.2,18.9,0.485,0.2,0.8,0.313,8.9,18.1,0.493,0.492,3.3,4,0.81,2,3.5,5.5,3.6,0.9,0.3,2.6,3.2,21.9
22,Larry Nance,PF,24,PHO,82,82,35.4,7.3,12.7,0.576,0,0.1,0,7.3,12.6,0.58,0.576,3,4.3,0.707,2.8,5.5,8.3,2.6,1,2.1,2.2,3.3,17.7
23,Gus Williams,PG,30,SEA,80,80,35.2,7.5,16.3,0.458,0.1,0.3,0.16,7.4,16,0.464,0.459,3.7,5,0.75,0.8,1.7,2.6,8.4,2.4,0.3,2.9,1.9,18.7
