Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson*,PG,30,PHI,72,72,43.1,11.3,25.3,0.447,1,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33
2,LeBron James,SF,21,CLE,79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7,6.6,1.6,0.8,3.3,2.3,31.4
3,Gilbert Arenas,PG,24,WAS,80,80,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10,0.82,0.7,2.8,3.5,6.1,2,0.3,3.7,3.6,29.3
4,Ricky Davis,SG-SF,26,TOT,78,78,41.1,7.5,16.7,0.448,0.9,3.1,0.302,6.6,13.6,0.481,0.476,3.5,4.4,0.797,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4,19.4
5,Kobe Bryant*,SG,27,LAL,80,80,41,12.2,27.2,0.45,2.3,6.5,0.347,10,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4
6,Joe Johnson,SG,24,ATL,82,82,40.7,7.7,17,0.453,1.6,4.4,0.356,6.1,12.6,0.487,0.499,3.2,4,0.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2
7,Shawn Marion,PF,27,PHO,81,81,40.3,8.8,16.9,0.525,1.2,3.6,0.331,7.7,13.3,0.577,0.56,3,3.7,0.809,3.1,8.8,11.8,1.8,2,1.7,1.5,2.8,21.8
8,Lamar Odom,PF,26,LAL,80,80,40.3,5.6,11.6,0.481,1,2.7,0.372,4.6,8.9,0.514,0.524,2.7,3.9,0.69,2.3,7,9.2,5.5,0.9,0.8,2.7,3.2,14.8
9,Antawn Jamison,SF,29,WAS,82,80,40.1,8,18.2,0.442,1.8,4.5,0.394,6.3,13.7,0.458,0.491,2.6,3.6,0.731,2,7.3,9.3,1.9,1.1,0.1,1.7,2.3,20.5
10,Metta World Peace,SF,26,TOT,56,56,39.4,6.3,15.5,0.404,1.4,4.5,0.308,4.9,11,0.443,0.449,3.7,5.4,0.675,1.3,3.8,5.1,3.6,2.2,0.7,2.3,2.9,17.6
11,Chris Bosh*,C,21,TOR,70,70,39.3,7.8,15.5,0.505,0,0.2,0,7.8,15.3,0.511,0.505,6.8,8.3,0.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3,22.5
12,Elton Brand,PF,26,LAC,79,79,39.2,9.6,18.2,0.527,0,0,0.333,9.6,18.1,0.527,0.527,5.6,7.2,0.775,3,7,10,2.6,1,2.5,2.2,2.9,24.7
13,Pau Gasol,PF,25,MEM,80,80,39.2,7.5,14.9,0.503,0,0.2,0.25,7.5,14.8,0.505,0.504,5.3,7.7,0.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4
