Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson*,SG,23,PHI,48,48,41.5,9.1,22,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2,26.8
2,Jason Kidd*,PG,25,PHO,50,50,41.2,6.2,14,0.444,0.9,2.5,0.366,5.3,11.5,0.461,0.476,3.6,4.8,0.757,1.7,5,6.8,10.8,2.3,0.4,3,2.2,16.9
3,Michael Finley,SF,25,DAL,50,50,41,7.8,17.5,0.444,0.9,2.7,0.331,6.9,14.8,0.465,0.47,3.7,4.5,0.823,1.4,3.9,5.3,4.4,1.3,0.3,2.1,1.9,20.2
4,Chris Webber*,PF,25,SAC,42,42,40.9,9,18.5,0.486,0.1,0.8,0.118,8.9,17.7,0.503,0.488,1.9,4.1,0.454,3.5,9.4,13,4.1,1.4,2.1,3.5,3.5,20
5,Shareef Abdur-Rahim,SF,22,VAN,50,50,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23
6,Gary Payton*,PG,30,SEA,50,50,40.2,8,18.5,0.434,1.7,5.6,0.295,6.4,12.8,0.495,0.479,4,5.5,0.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7
7,Scottie Pippen*,SF,33,HOU,50,50,40.2,5.2,12.1,0.432,1.4,4.2,0.34,3.8,7.8,0.482,0.492,2.6,3.7,0.721,1.3,5.2,6.5,5.9,2,0.7,3.2,2.4,14.5
8,Juwan Howard,SF,25,WAS,36,36,39.7,7.9,16.8,0.474,0,0.1,0,7.9,16.7,0.476,0.474,3.1,4.1,0.753,2.5,5.6,8.1,3,1.2,0.4,2.6,3.6,18.9
9,Tim Duncan*,PF,22,SAS,50,50,39.3,8.4,16.9,0.495,0,0.1,0.143,8.3,16.8,0.498,0.495,4.9,7.2,0.69,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7
10,Anfernee Hardaway,SG,27,ORL,50,50,38.9,6,14.3,0.42,0.8,2.8,0.286,5.2,11.5,0.452,0.448,3,4.2,0.706,1.5,4.2,5.7,5.3,2.2,0.5,3,2.2,15.8
11,Stephon Marbury,PG,21,TOT,49,49,38.7,7.7,18,0.428,1.3,4,0.335,6.4,14,0.455,0.465,4.5,5.7,0.799,0.8,2.1,2.9,8.9,1.2,0.2,3.3,2.6,21.3
12,Antonio McDyess,C,24,DEN,50,50,38.7,8.3,17.6,0.471,0,0.2,0.111,8.3,17.5,0.474,0.471,4.6,6.8,0.68,3.4,7.4,10.7,1.6,1.5,2.3,2.8,3.5,21.2
13,Mitch Richmond*,SG,33,WAS,50,50,38.2,6.6,16.1,0.412,1.4,4.4,0.317,5.2,11.6,0.448,0.456,5,5.9,0.857,0.6,2.8,3.4,2.4,1.3,0.2,2.7,2.4,19.7
14,Alonzo Mourning*,C,28,MIA,46,46,38.1,7,13.8,0.511,0,0,0,7,13.7,0.513,0.511,6,9.2,0.652,3.6,7.4,11,1.6,0.7,3.9,3,3.5,20.1
15,Kobe Bryant*,SG,20,LAL,50,50,37.9,7.2,15.6,0.465,0.5,2,0.267,6.7,13.6,0.494,0.482,4.9,5.8,0.839,1.1,4.2,5.3,3.8,1.4,1,3.1,3.1,19.9
16,Kevin Garnett*,PF,22,MIN,47,47,37.9,8.8,19.1,0.46,0.1,0.3,0.286,8.7,18.9,0.463,0.462,3.1,4.4,0.704,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8
17,Ron Mercer,SG,22,BOS,41,40,37.8,7.4,17.2,0.431,0.1,0.7,0.167,7.3,16.5,0.443,0.435,2,2.6,0.79,0.9,2.9,3.8,2.5,1.6,0.3,2.2,2,17
