Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
114,Lionel Hollins,PG,31,HOU,80,60,24.4,3.1,6.8,0.461,0,0.2,0.231,3.1,6.6,0.467,0.464,1.4,1.7,0.794,0.4,1.8,2.2,5.2,1,0.1,2.1,2.3,7.6
115,Terry Tyler,SF,28,DET,82,53,24.4,5.1,10.4,0.494,0,0.1,0,5.1,10.3,0.498,0.494,1.3,1.8,0.716,1.8,3.4,5.2,0.8,0.6,1.1,0.9,2.3,11.6
116,Michael Holton,SG,23,PHO,74,59,23.8,3.5,7.8,0.446,0.2,0.6,0.311,3.3,7.2,0.458,0.458,1.3,1.6,0.814,0.4,1.4,1.8,2.7,0.8,0.1,1.7,1.9,8.4
117,Trent Tucker,SG,25,NYK,77,46,23.6,3.8,7.9,0.483,0.4,0.9,0.403,3.4,6.9,0.494,0.507,0.5,0.6,0.792,1,1.5,2.4,2.6,1,0.2,0.8,2.5,8.5
118,Otis Thorpe,PF,22,KCK,82,23,23.4,5,8.4,0.6,0,0,0,5,8.3,0.602,0.6,2.8,4.5,0.62,2.3,4.5,6.8,1.4,0.4,0.5,2.3,3.1,12.8
119,Steve Johnson,C,27,CHI,74,54,22.4,3.8,7,0.545,0,0,0,3.8,6.9,0.548,0.545,2.4,3.4,0.718,2,3.9,5.9,0.9,0.5,0.8,2,3.6,10
120,Dan Issel*,C,36,DEN,77,9,21.9,4.7,10.3,0.459,0,0.1,0.143,4.7,10.2,0.462,0.46,3.3,4.1,0.806,1,3.3,4.3,1.8,0.8,0.4,1.2,2.2,12.8
121,Kevin Willis,PF,22,ATL,82,19,21.8,3.9,8.4,0.467,0,0.1,0.222,3.9,8.3,0.47,0.468,1.5,2.2,0.657,2.2,4.2,6.4,0.4,0.4,0.6,1.3,2.8,9.3
122,Michael Cage,PF,23,LAC,75,41,21.5,2.9,5.3,0.543,0,0,,2.9,5.3,0.543,0.543,1.3,1.8,0.737,1.7,3.5,5.2,0.7,0.5,0.4,1.1,2.2,7.1
123,Robert Reid,SF,29,HOU,82,0,21.5,3.8,7.9,0.481,0,0.2,0.063,3.8,7.7,0.492,0.482,1.1,1.5,0.698,1,2.3,3.3,2.1,0.6,0.3,1.2,2.4,8.7
124,Alvin Robertson,SG,22,SAS,79,9,21.3,3.8,7.6,0.498,0.1,0.1,0.364,3.7,7.5,0.501,0.502,1.6,2.1,0.734,1.5,1.9,3.4,3.5,1.6,0.3,2.1,2.7,9.2
125,Ben Poquette,PF,29,CLE,79,6,21,2.7,5.8,0.46,0,0.2,0.176,2.6,5.6,0.47,0.463,1.4,1.7,0.796,1.9,4.1,6,1,0.6,0.7,0.9,2.8,6.7
126,Ricky Sobers,SG,32,SEA,71,12,21,3.9,8.8,0.446,0.1,0.4,0.286,3.8,8.5,0.453,0.452,1.9,2.3,0.815,0.4,1.1,1.5,3.5,0.7,0.1,2.2,2.2,9.9
127,Bill Hanzlik,SF,27,DEN,80,1,20.9,2.8,6.5,0.421,0,0.2,0.067,2.7,6.3,0.432,0.422,2.3,3,0.756,1.1,1.5,2.6,2.6,1.1,0.3,1.4,3.6,7.8
128,Kelvin Ransey,PG,26,NJN,81,29,20.9,3.7,8.1,0.459,0,0.1,0.182,3.7,7.9,0.463,0.46,1.5,1.8,0.859,0.5,1.1,1.6,4.4,1.1,0.1,1.4,1.7,8.9
129,Clint Richardson,SG,28,PHI,74,20,20.7,2.5,5.5,0.453,0,0,0.333,2.5,5.4,0.454,0.454,1,1.2,0.854,0.8,1.3,2.1,2.1,0.5,0.2,1.1,1.9,6
130,Bobby Jones*,PF,33,PHI,80,8,20.4,2.6,4.8,0.538,0,0.1,0,2.6,4.8,0.543,0.538,2.3,2.7,0.861,1.3,2.4,3.7,1.9,1.1,0.6,1.5,2.3,7.5
131,Earl Cureton,C,27,DET,81,1,20.3,2.6,5.3,0.484,0,0,0,2.6,5.2,0.487,0.484,1,1.8,0.569,2.1,3.1,5.2,1,0.7,0.5,1.4,2.7,6.1
132,Tim McCormick,C,22,SEA,78,27,20.3,3.4,6.2,0.557,0,0,0,3.4,6.2,0.558,0.557,2.4,3.4,0.715,1.9,3.2,5.1,1,0.2,0.4,1.5,2.7,9.3
133,Charles Jones,C,23,PHO,78,14,20.1,3,5.8,0.52,0,0.1,0,3,5.8,0.524,0.52,2.3,3.6,0.648,1.8,3.3,5.1,1.6,0.6,0.8,1.8,1.9,8.4
134,Paul Mokeski,C,28,MIL,79,6,20.1,2.6,5.4,0.478,0,0,0,2.6,5.4,0.48,0.478,1,1.5,0.698,1.4,3.8,5.2,1.3,0.4,0.4,1.1,3.4,6.2
135,Jeff Turner,PF,22,NJN,72,36,19.8,2.4,5.2,0.454,0,0,0,2.4,5.2,0.457,0.454,1.1,1.3,0.859,1.2,1.8,3,1.5,0.4,0.1,1.3,3.4,5.8
