Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson*,SG,26,PHI,60,59,43.7,11.1,27.8,0.398,1.3,4.5,0.291,9.8,23.4,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4,1.7,31.4
2,Cuttino Mobley,SG,26,HOU,74,74,42.1,8,18.4,0.438,2,5.1,0.395,6,13.3,0.455,0.493,3.6,4.2,0.85,0.9,3.2,4.1,2.5,1.5,0.5,2.4,2.6,21.7
3,Antoine Walker,PF,25,BOS,81,81,42,8.2,20.9,0.394,2.7,8,0.344,5.5,12.9,0.425,0.46,3,4,0.741,1.9,7,8.8,5,1.5,0.5,3.1,2.9,22.1
4,Steve Francis,PG,24,HOU,57,56,41.1,7.4,17.7,0.417,1.2,3.7,0.324,6.2,14,0.442,0.451,5.7,7.4,0.773,1.8,5.2,7,6.4,1.2,0.4,3.9,3,21.6
5,Latrell Sprewell,SF,31,NYK,81,81,41.1,7.1,17.5,0.404,1.8,5,0.36,5.3,12.5,0.421,0.455,3.5,4.3,0.821,0.7,3,3.7,3.9,1.2,0.2,2.8,2,19.4
6,Tim Duncan*,PF,25,SAS,82,82,40.6,9.3,18.3,0.508,0,0.1,0.1,9.3,18.2,0.511,0.508,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5
7,Baron Davis,PG,22,CHH,82,82,40.5,6.8,16.4,0.417,2.1,5.8,0.356,4.7,10.5,0.451,0.48,2.4,4.1,0.58,1.1,3.1,4.3,8.5,2.1,0.6,3,2.9,18.1
8,Gary Payton*,PG,33,SEA,82,82,40.3,9,19.2,0.467,0.9,2.9,0.314,8.1,16.4,0.494,0.49,3.3,4.1,0.797,1,3.9,4.8,9,1.6,0.3,2.5,2.2,22.1
9,Paul Pierce*,SG,24,BOS,82,82,40.3,8.6,19.5,0.442,2.6,6.3,0.404,6.1,13.1,0.461,0.508,6.3,7.8,0.809,1,5.9,6.9,3.2,1.9,1,2.9,2.9,26.1
10,Michael Finley,SF,28,DAL,69,69,39.9,8.2,17.8,0.463,1.1,3.2,0.339,7.1,14.6,0.491,0.494,3,3.6,0.837,1.3,3.9,5.2,3.3,0.9,0.4,1.7,2.1,20.6
11,Vince Carter,SG,25,TOR,60,60,39.8,9.3,21.8,0.428,2,5.2,0.387,7.3,16.6,0.441,0.474,4.1,5.1,0.798,2.3,2.9,5.2,4,1.6,0.7,2.6,3.2,24.7
12,Shane Battier,SF,23,MEM,78,78,39.7,5.3,12.3,0.429,1.3,3.5,0.373,4,8.8,0.451,0.482,2.5,3.6,0.7,2.3,3.1,5.4,2.8,1.6,1,2,2.8,14.4
13,Kevin Garnett*,PF,25,MIN,81,81,39.2,8.1,17.3,0.47,0.5,1.4,0.319,7.7,15.9,0.484,0.484,4.4,5.5,0.801,3,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2
14,Eddie Jones,SG,30,MIA,81,81,39,6.4,14.8,0.432,1.8,4.7,0.39,4.5,10.1,0.451,0.494,3.7,4.4,0.837,0.8,3.9,4.7,3.2,1.4,1,1.8,3.2,18.3
15,Stephon Marbury,PG,24,PHO,82,80,38.9,7.6,17.2,0.442,0.9,3,0.286,6.8,14.2,0.476,0.467,4.3,5.5,0.781,0.9,2.3,3.2,8.1,0.9,0.2,3.5,2.3,20.4
16,Shareef Abdur-Rahim,PF,25,ATL,77,77,38.7,7.8,16.8,0.461,0.3,0.9,0.3,7.5,15.9,0.47,0.469,5.4,6.8,0.801,2.6,6.5,9,3.1,1.3,1.1,3.2,2.8,21.2
17,Antonio Davis,PF,33,TOR,77,77,38.7,5.3,12.5,0.426,0,0,0,5.3,12.5,0.426,0.426,3.8,4.6,0.818,3.3,6.3,9.6,2,0.7,1.1,2.1,2.9,14.5
18,Shawn Marion,SF,23,PHO,81,81,38.4,8.1,17.2,0.469,0.6,1.5,0.393,7.5,15.7,0.476,0.486,2.4,2.8,0.845,2.6,7.3,9.9,2,1.8,1.1,1.8,2.6,19.1
19,Chris Webber*,PF,28,SAC,54,54,38.4,9.9,19.9,0.495,0.1,0.4,0.263,9.8,19.6,0.499,0.497,4.7,6.3,0.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5
20,Kobe Bryant*,SG,23,LAL,80,80,38.3,9.4,20,0.469,0.4,1.7,0.25,9,18.3,0.489,0.479,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2
21,Anthony Mason,PF,35,MIL,82,82,38.3,3.9,7.6,0.505,0,0,1,3.8,7.6,0.504,0.506,1.9,2.7,0.697,1.5,6.4,7.9,4.2,0.7,0.3,1.6,2.3,9.6
22,Tracy McGrady*,SG,22,ORL,76,76,38.3,9.4,20.9,0.451,1.4,3.7,0.364,8.1,17.1,0.47,0.483,5.5,7.3,0.748,2,5.9,7.9,5.3,1.6,1,2.5,1.8,25.6
23,Karl Malone*,PF,38,UTA,80,80,38,7.9,17.5,0.454,0.1,0.3,0.36,7.8,17.2,0.456,0.457,6.4,8,0.797,1.8,6.8,8.6,4.3,1.9,0.7,3.3,2.9,22.4
24,Dirk Nowitzki,C,23,DAL,76,76,38,7.9,16.6,0.477,1.8,4.6,0.397,6.1,11.9,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1,1.9,2.9,23.4
25,Jalen Rose,SF,29,TOT,83,83,38,8,17.6,0.455,1.1,3,0.362,6.9,14.6,0.474,0.485,3.4,4,0.839,0.5,4,4.5,4.3,0.9,0.5,2.4,3,20.4
