Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Truck Robinson,PF,26,NOJ,82,,44.4,9.1,20.5,0.444,,,,9.1,20.5,0.444,0.444,4.5,7,0.64,3.6,12.1,15.7,2.1,0.9,1,3.7,3.2,22.7
2,Dave Cowens*,C,29,BOS,77,,41.8,7.8,15.8,0.49,,,,7.8,15.8,0.49,0.49,3.1,3.7,0.842,3.2,10.8,14,4.6,1.3,0.9,2.8,3.9,18.6
3,Pete Maravich*,SG,30,NOJ,50,,40.8,11.1,25.1,0.444,,,,11.1,25.1,0.444,0.444,4.8,5.5,0.87,1,2.6,3.6,6.7,2,0.2,5,2.3,27
4,Billy Knight,SF,25,BUF,53,,40.7,8.6,17.5,0.494,,,,8.6,17.5,0.494,0.494,5.7,7,0.809,2.4,4.8,7.2,3,1.5,0.2,3.2,2.6,22.9
5,Randy Smith,SG,29,BUF,82,,40.4,9.6,20.7,0.465,,,,9.6,20.7,0.465,0.465,5.4,6.8,0.8,1.3,2.4,3.8,5.6,2.1,0.1,3.5,2.7,24.6
6,Bob McAdoo*,C,26,NYK,79,,40.3,10.3,19.8,0.52,,,,10.3,19.8,0.52,0.52,5.9,8.2,0.727,3,9.8,12.8,3.8,1.3,1.6,4.4,3.8,26.5
7,Elvin Hayes*,PF,32,WSB,81,,40.1,7.9,17.4,0.451,,,,7.9,17.4,0.451,0.451,4,6.3,0.634,4.1,9.1,13.3,1.8,1.2,2,2.8,3.9,19.7
8,Bernard King*,SF,21,NJN,79,,39.1,10.1,21.1,0.479,,,,10.1,21.1,0.479,0.479,4,5.8,0.677,3.4,6.2,9.5,2.4,1.5,0.5,3.9,3.8,24.2
9,Calvin Murphy*,SG,29,HOU,76,,38.2,11.2,22.9,0.491,,,,11.2,22.9,0.491,0.491,3.2,3.5,0.918,0.8,1.4,2.2,3.4,1.5,0,2.3,3.2,25.6
10,Ricky Sobers,PG,25,IND,79,,38.2,7,15.5,0.453,,,,7,15.5,0.453,0.453,4.2,5.1,0.825,1.2,3,4.1,7.4,2.2,0.3,4.5,3.9,18.2
11,David Thompson*,SG,23,DEN,80,,37.8,10.3,19.8,0.521,,,,10.3,19.8,0.521,0.521,6.5,8.4,0.778,2,2.9,4.9,4.5,1.2,1.2,3.1,2.7,27.2
12,Artis Gilmore*,C,28,CHI,82,,37.4,8.6,15.4,0.559,,,,8.6,15.4,0.559,0.559,5.7,8.2,0.704,3.9,9.2,13.1,3.2,0.5,2.2,4.5,3.2,22.9
13,Adrian Dantley*,SF,22,TOT,79,,37.1,7.3,14.3,0.512,,,,7.3,14.3,0.512,0.512,6.8,8.6,0.796,3.4,4.5,7.8,3.2,1.5,0.3,2.9,2.9,21.5
14,Bob Dandridge*,SF,30,WSB,75,,37,7.5,15.9,0.471,,,,7.5,15.9,0.471,0.471,4.4,5.6,0.788,1.8,4.1,5.9,3.8,1.3,0.6,3.2,3.5,19.3
15,Rick Barry*,SF,33,GSW,82,,36.9,9.3,20.6,0.451,,,,9.3,20.6,0.451,0.451,4.6,5,0.924,0.9,4.6,5.5,5.4,1.9,0.5,2.7,2.3,23.1
16,Bob Lanier*,C,29,DET,63,,36.7,9.9,18.4,0.537,,,,9.9,18.4,0.537,0.537,4.7,6.1,0.772,3.1,8.2,11.3,3.4,1.3,1.5,3.6,2.9,24.5
